,Drug-Gene,Drug-Gene Cluster,Dependency Path,Dependency path Cluster
344,(paclitaxel/pi3k),17.0,"[appos, rantes, appos]",0.0
345,(spermine/phospholipase),2.0,"[prep_including, antagonists, nn]",66.0
346,(staurosporine/phospholipase),25.0,"[appos, inhibitor, prep_for]",3.0
347,(calcitriol/fgf-23),16.0,"[amod, resistance, appos]",78.0
348,(pge2/mpges-1),8.0,"[appos, inhibitors, nn]",89.0
349,(infliximab/icer),24.0,"[xsubj, inhibit, dobj, activation, amod]",68.0
350,(hydroxyurea/cds1),29.0,"[amod, therapy, appos]",52.0
351,(troglitazone/ent1),28.0,"[nn, a, appos]",79.0
352,(paracetamol/cox-2),28.0,"[nsubjpass, metabolized, agent, enzymes, appos]",0.0
353,(cisapride/herg),12.0,"[nsubj, reduced, dobj, mrna, nn]",4.0
354,(paracetamol/cox-1),12.0,"[xsubj, inhibit, dobj, activity, amod]",100.0
355,(il-2/nkg2d),0.0,"[nsubj, inhibitors, amod]",11.0
356,(collagenase/timp),1.0,"[appos, substrate, nn]",11.0
357,(pyridostigmine/igf-i),0.0,"[prep_with, treated, nsubjpass]",80.0
358,(curcumin/p-gp),17.0,"[amod, concentrations, appos]",42.0
359,(irinotecan/ces2),22.0,"[nsubj, increased, dobj, expression, prep_of]",29.0
360,(simvastatin/cyr61),3.0,"[dep, inhibitor, nn]",102.0
361,(lamotrigine/ugt1a4),17.0,"[appos, inhibitors, num]",49.0
362,(naringenin/tslp),3.0,"[prep_than, effective, nsubj]",0.0
363,(hemin/nrf2),29.0,"[nsubj, effective, prep_as]",0.0
364,(dexamethasone/phospholipase),23.0,"[prep_of, addition, nsubj]",108.0
365,(raloxifene/ki-67),13.0,"[nsubj, reduced, dobj, production, prep_of]",0.0
366,(anticholinesterases/cholinesterase),25.0,"[appos, ligand, prep_for]",39.0
367,(curcumin/nf-kappab),23.0,"[prep_of, effects, dobj, investigate, prep_on, expression, prep_of]",80.0
368,(fk506/fkbp-12),6.0,"[appos, beta, appos, beta, nn]",0.0
369,(quinacrine/phospholipase),23.0,"[nsubj, decreased, dobj, expression, nn]",27.0
370,(salbutamol/copd),0.0,"[amod, induced, nsubj]",107.0
371,(haloperidol/cyp2d6),0.0,"[nn, gene, appos]",87.0
372,(dhea/factor-1),16.0,"[amod, production, dobj, inhibited, nsubj]",0.0
373,(dexamethasone/pepck),22.0,"[nn, treatment, prep_of]",109.0
374,(rosiglitazone/icam-1),1.0,"[nn, expression, nn]",45.0
375,(daunorubicin/dt-diaphorase),17.0,"[appos, factor, nn]",106.0
376,(il-2/cx3cr1),27.0,"[appos, inhibitor, prep_of, activation, amod]",82.0
377,(cisplatin/ho-1),13.0,"[nsubj, showed, prep_on]",104.0
378,(anakinra/il-1),1.0,"[amod, decarboxylase, appos]",87.0
379,(debrisoquin/cyp2d6),20.0,"[nsubj, modulates, dobj, expression, prep_of]",66.0
380,(promethazine/calmodulin),28.0,"[nsubj, inhibited, dobj, release, prep_of]",34.0
381,(isoproterenol/beta-glucuronidase),21.0,"[amod, peptide, amod]",93.0
382,(cyclophosphamide/cyp2b6),19.0,"[xsubj, cells, amod]",89.0
383,(g-csf/lenograstim),18.0,"[nsubj, inhibited, dobj, upregulation, prep_of]",49.0
384,(lenograstim/g-csf),8.0,"[dep, inhibitor, appos]",102.0
385,(buserelin/lhrh),29.0,"[dep, alpha, dep]",68.0
386,(simvastatin/mcp-1),13.0,"[nsubj, reversed, dobj, effects, prep_of]",68.0
387,(genistein/mmp-9),17.0,"[prep_to, sensitive, nsubj]",102.0
388,(resveratrol/mcp-1),3.0,"[agent, involved, nsubjpass]",0.0
389,(epirubicin/g-csf),18.0,"[prep_with, treated, nsubjpass, patients, prep_with]",23.0
390,(fasudil/rhoa),1.0,"[nsubj, inhibit, dobj, activation, amod]",23.0
391,(sunitinib/abcg2),15.0,"[amod, release, nn]",28.0
392,(oxytocin/gnrh),0.0,"[nsubj, had, dobj]",35.0
393,(doxorubicin/survivin),3.0,"[prep_with, inhibitor, nn]",5.0
394,(verapamil/nm23),17.0,"[nsubj, increased, dobj, secretion, amod]",77.0
395,(tamoxifen/nadph),8.0,"[nsubj, increases, dobj, phosphorylation, prep_of]",0.0
396,(apap/sulfotransferase),20.0,"[appos, therapy, amod]",6.0
397,(theophylline/copd),6.0,"[nn, sulfate, appos]",99.0
398,(secretin/calcitonin),27.0,"[prep_of, concentrations, nsubj]",20.0
399,(phenprocoumon/cyp2c9),17.0,"[nsubj, inhibited, dobj, factor, appos]",3.0
400,(curcumin/caspase-8),3.0,"[appos, drug, amod]",37.0
401,(dextromethorphan/cyp2c9),24.0,"[nsubj, reduces, dobj, expression, amod]",93.0
402,(carbamazepine/cyp3a),8.0,"[nsubj, increases, dobj]",0.0
403,(dexamethasone/pghs-2),1.0,"[nsubj, induces, dobj, expression, prep_of]",0.0
404,(fluvoxamine/cyp3a4),28.0,"[prep_of, presence, prep_in, activity, amod]",26.0
405,(calcitriol/cyp24a1),4.0,"[amod, mrna, nn]",97.0
406,(fenofibrate/enos),29.0,"[dep, agonists, nn]",13.0
407,(colchicine/mdr1),15.0,"[nsubj, inhibits, dobj, activity, nn]",116.0
408,(protamine/tfpi),20.0,"[appos, activity, amod]",10.0
409,(metoclopramide/gastrin),23.0,"[prep_with, increased, nsubj]",121.0
410,(prednisone/p-gp),15.0,"[amod, blocks, nsubj]",58.0
411,(calcein/mrp1),15.0,"[amod, block, prepc_of]",91.0
412,(il-2/p-selectin),25.0,"[nn, production, prep_of]",1.0
413,(hyaluronate/habp),6.0,"[appos, receptor, appos]",91.0
414,(imipramine/cyp2c19),24.0,"[dep, corticosteroids, amod, plasmapheresis, appos]",97.0
415,(pamidronate/calcitonin),2.0,"[amod, expression, amod]",0.0
416,(cisplatin/hmg1),0.0,"[dep, inhibitors, appos]",27.0
417,(resveratrol/nadph),28.0,"[prep_with, induced, nsubjpass]",27.0
418,(prostacyclin/cyclooxygenase-1),20.0,"[nn, concentration, nsubj]",75.0
419,(prostacyclin/cyclooxygenase-2),18.0,"[appos, factor, dep]",27.0
420,(hemin/bach1),5.0,"[dep, antibody, prep_against]",27.0
421,(nafarelin/lhrh),16.0,"[prep_by, induction, nn]",27.0
422,(aldosterone/a-ii),9.0,"[prep_with, incubated, nsubjpass]",75.0
423,(lenalidomide/amyloidosis),2.0,"[amod, genes, appos]",58.0
424,(pravastatin/abca1),0.0,"[amod, system, appos]",10.0
425,(doxycycline/mmp-8),12.0,"[nsubj, inhibit, prep_by]",10.0
426,(carnitine/octn2),26.0,"[appos, inducer, nn]",117.0
427,(carnitine/octn1),26.0,"[acomp, using, partmod]",95.0
428,(doxycycline/mmp-9),1.0,"[dep, agonists, amod]",90.0
429,(nateglinide/cyp2c9),17.0,"[amod, synthase, appos]",98.0
430,(doxycycline/mmp-3),17.0,"[appos, alpha, appos]",36.0
431,(corticosteroids/fsgs),6.0,"[prep_with, synergized, nsubj]",113.0
432,(doxycycline/mmp-2),1.0,"[nsubj, stimulated, dobj, secretion, nn]",0.0
433,(bethanechol/gastrin),0.0,"[nsubj, inhibited, dobj, activity, appos]",118.0
434,(ranibizumab/vegf-a),12.0,"[nsubj, inhibitor, prep_of]",118.0
435,(l-tryptophan/rna-binding),7.0,"[dobj, binds, nsubj]",83.0
436,(cetrorelix/lhrh),0.0,"[prep_of, micrograms, amod]",9.0
437,(cilostazol/cd62p),0.0,"[nsubj, inhibit, dobj, activity, prep_of]",56.0
438,(il-2/ifn-alpha),2.0,"[prep_as, inhibitor, nn]",25.0
439,(tramadol/cyp2d6),17.0,"[nsubj, suppressed, dobj, activation, amod]",44.0
440,(propranolol/vegf),0.0,"[nsubj, regulates, dobj, activity, amod]",83.0
441,(riluzole/gdnf),18.0,"[nsubj, synergized, prep_with]",83.0
442,(osi-774/egfr),12.0,"[prep_on, activity, prep_of]",25.0
443,(dexamethasone/gilz),6.0,"[nsubj, inhibit, dobj, activity, nn]",83.0
444,(sn-38/abcg2),5.0,"[agent, increased, nsubjpass, levels, nn]",55.0
445,(moclobemide/cyp2c19),17.0,"[infmod, inhibit, dobj]",94.0
446,(rivastigmine/butyrylcholinesterase),3.0,"[prep_of, protein, appos]",64.0
447,(dapsone/cyp2c9),10.0,"[nsubjpass, metabolized, agent]",11.0
448,(raloxifene/enos),10.0,"[nsubj, caused, dobj, induction, prep_of]",0.0
449,(estradiol/cyp3a4),15.0,"[nsubj, analog, appos]",35.0
450,(imipenem/ml-1),24.0,"[nsubj, upregulated, dobj, expression, prep_of]",95.0
451,(aldosterone/as160),22.0,"[amod, gene, nn]",59.0
452,(g-csf/filgrastim),0.0,"[agent, induced, partmod, mrna, amod]",106.0
453,(filgrastim/g-csf),0.0,"[nsubj, attenuated, dobj, expression, amod]",0.0
454,(halothane/calmodulin),6.0,"[nsubj, increases, dobj, expression, amod]",0.0
455,(tamoxifen/mcp-1),3.0,"[xsubj, induce, dobj, expression, prep_of]",45.0
456,(lovastatin/pten),13.0,"[nsubj, reduce, dobj, expression, prep_of]",103.0
457,(il-1ra/il1rn),20.0,"[nsubj, increased, dobj, phosphorylation, nn]",81.0
458,(doxorubicin/bcl-2),25.0,"[nn, acetate, nn]",81.0
459,(vincristine/mrp1),26.0,"[prep_of, effect, dobj, study, prep_on]",87.0
460,(buspirone/5-ht1a),16.0,"[rcmod, inhibits, acomp]",13.0
461,(vatalanib/vegf),28.0,"[prep_by, expression, amod]",81.0
462,(perindopril/vegf),24.0,"[nsubj, decreased, dobj, activity, amod]",81.0
463,(delavirdine/cyp3a4),28.0,"[prep_by, production, nn]",81.0
464,(raloxifene/igf-i),22.0,"[amod, inhibitor, appos]",84.0
465,(propafenone/cyp2d6),17.0,"[prep_of, target, dep]",43.0
466,(bupropion/cyp2b6),9.0,"[prep_by, gene, amod]",0.0
467,(thioridazine/calmodulin),25.0,"[amod, sulfate, appos]",64.0
468,(vasopressin/beta-endorphin),16.0,"[nsubj, caused, prep_in, activity, amod]",34.0
469,(n-acetylcysteine/nadph),9.0,"[appos, acid, appos]",56.0
470,(dexamethasone/aromatase),12.0,"[nsubj, enhanced, dobj]",0.0
471,(topotecan/bcrp),22.0,"[partmod, bound, prep_to]",107.0
472,(aldosterone/per1),5.0,"[amod, receptor, nsubj]",17.0
473,(taurine/kallikrein),3.0,"[agent, inhibited, nsubjpass, expression, prep_of]",59.0
474,(paclitaxel/nfkappab),22.0,"[prep_of, expression, amod]",0.0
475,(dexamethasone/ifn-gamma),0.0,"[amod, antagonists, nn]",3.0
476,(estradiol/creb),0.0,"[nsubj, enhanced, dobj, expression, prep_of]",3.0
477,(pge2/ml-1),5.0,"[prep_on, secretion, nn]",0.0
478,(ribavirin/eif4e),1.0,"[appos, agonist, appos]",21.0
479,(losartan/cyp2c9),17.0,"[prep_on, production, prep_of]",0.0
480,(tolcapone/comt),28.0,"[amod, activation, appos]",43.0
481,(amitriptyline/trka),7.0,"[agent, regulated, nsubjpass, expression, nn]",113.0
482,(colchicine/p-gp),15.0,"[agent, signaling, partmod]",0.0
483,(fk506/nf-kappab),23.0,"[nsubj, increased, dobj, release, nn]",108.0
484,(capsaicin/pi3k),3.0,"[appos, inhibitor, amod, selective, amod]",123.0
485,(aldosterone/dheas),5.0,"[prep_with, received, dobj]",0.0
486,(g-csf/il-1),0.0,"[prep_such_as, inhibitors, prep_of]",11.0
487,(quinidine/herg),12.0,"[nsubj, potentiated, dobj, effect, prep_of]",68.0
488,(metformin/alpha-glucosidase),12.0,"[prep_of, effects, appos]",86.0
489,(aripiprazole/5-ht1a),16.0,"[prep_of, effects, dobj, investigated, prep_on, expression, nn]",24.0
490,(forskolin/raf-1),28.0,"[appos, levels, amod]",0.0
491,(etoposide/brca1),23.0,"[nn, fasr, appos]",10.0
492,(taurine/glyrs),10.0,"[nsubj, induces, dobj, phosphorylation, prep_of]",7.0
493,(il-2/g-csf),18.0,"[amod, palmitoyltransferase, appos]",91.0
494,(forskolin/nachr),19.0,"[nn, production, prep_by]",58.0
495,(g-csf/il-5),18.0,"[nn, az, nn]",101.0
496,(hyaluronan/adiponectin),24.0,"[prep_with, treatment, nsubj, increased, dobj, expression, amod]",108.0
497,(carbachol/cgrp),5.0,"[appos, factor, nsubj]",33.0
498,(metyrapone/adrenocorticotropin),5.0,"[nsubj, upregulates, dobj]",23.0
499,(doxazosin/pc-3),7.0,"[amod, treatment, nsubj, increased, dobj, expression, prep_of]",83.0
500,(tcgf/lymphokine),18.0,"[nsubj, inhibited, dobj, induction, prep_of]",0.0
501,(il-2/cd86),20.0,"[appos, cortisol, appos]",91.0
502,(il-2/cd80),18.0,"[nsubj, increased, dobj, mrna, amod]",107.0
503,(clopidogrel/cyp2c19),17.0,"[nsubj, antibody, amod]",22.0
504,(sunitinib/abcb1),15.0,"[prep_by, inhibited, nsubj, expression, prep_of]",0.0
505,(zileuton/leukotriene),0.0,"[nsubj, increased, dobj, mrna, nn]",92.0
506,(melphalan/amyloidosis),17.0,"[agent, induced, partmod, phosphorylation, amod]",103.0
507,(troglitazone/cyp3a),24.0,"[prep_with, treated, partmod, patients, amod]",0.0
508,(pge2/cox-2),0.0,"[appos, blocker, prep_of]",107.0
509,(pioglitazone/ampk),29.0,"[nsubj, targets, dobj]",93.0
510,(pge2/cox-1),4.0,"[prep_including, inhibitors, nn]",93.0
511,(fk506/il-5),3.0,"[appos, csf, nn]",93.0
512,(vasopressin/v1br),20.0,"[appos, antibody, amod]",93.0
513,(tacrolimus/fkbp-12),7.0,"[dobj, received, nsubj]",93.0
514,(paclitaxel/cox-2),10.0,"[nn, alpha, appos]",107.0
515,(raloxifene/menin),23.0,"[xsubj, inhibit, dobj, activity, prep_of]",71.0
516,(genistein/pc-3),28.0,"[prep_of, target, xsubj]",0.0
517,(corticotropin/adrenocorticotropin),16.0,"[rcmod, metabolized, agent]",66.0
518,(coumarin/cyp2a6),15.0,"[amod, i, appos]",30.0
519,(fk506/caspase-3),23.0,"[amod, antagonist, nn]",93.0
520,(colchicine/il-1),0.0,"[nsubj, inhibits, xcomp]",93.0
521,(artemisinin/cdk2),1.0,"[appos, activation, amod]",29.0
522,(bleomycin/cox-2),15.0,"[nsubj, stimulates, dobj]",93.0
523,(artemisinin/cdk4),1.0,"[xcomp, inhibit, dobj]",93.0
524,(minocycline/caspase-3),23.0,"[appos, scf, appos]",71.0
525,(hpth/pthrp),2.0,"[amod, agonist, nn]",50.0
526,(octreotide/igf-i),0.0,"[xsubj, expression, prep_of]",29.0
527,(pge2/igf-i),10.0,"[prep_of, effect, appos, inhibitor, nn]",0.0
528,(gp120/icam-1),25.0,"[nn, administration, nn]",0.0
529,(vorinostat/hdac),28.0,"[amod, gene, prep_to, fused, partmod, promoter, amod]",29.0
530,(prostacyclin/calcitonin),5.0,"[prep_with, treatment, nsubj, increased, dobj, levels, nn]",114.0
531,(isoflurane/lfa-1),10.0,"[amod, treatment, nsubj, increased, dobj, expression, amod]",2.0
532,(paroxetine/cyp2d6),28.0,"[prep_with, reduced, nsubjpass]",114.0
533,(coxibs/cox-2),28.0,"[nsubj, induce, dobj, expression, nn]",64.0
534,(coxibs/cox-1),17.0,"[nsubj, had, dobj, effect, prep_on, levels, amod]",60.0
535,(diclofenac/ugt2b7),12.0,"[prep_with, treated, partmod, cells, nn]",56.0
536,(atra/bcl-2),0.0,"[amod, inhibition, prep_of, activity, amod]",114.0
537,(hemin/ho-2),23.0,"[prep_on, expression, amod]",37.0
538,(arsenite/cyp3a4),8.0,"[dep, micrograms, amod]",22.0
539,(hemin/ho-1),0.0,"[nsubj, agonists, nn]",2.0
540,(etanercept/il-1),2.0,"[prep_of, metabolism, prep_to, contributes, nsubj]",41.0
541,(il-2/lfa-1),13.0,"[nsubj, agonist, amod]",121.0
542,(cisplatin/cd44),5.0,"[pobj, with, pcomp, combined, prep]",101.0
543,(urokinase/pai-1),0.0,"[amod, treatment, nsubj, increased, dobj, expression, nn]",25.0
544,(urokinase/kallikrein),10.0,"[prep_of, effects, dobj, investigate, prep_on]",27.0
545,(urokinase/pai-2),28.0,"[prep_of, effects, dobj, studied, prep_on]",9.0
546,(ru486/aromatase),24.0,"[nsubj, inhibited, dobj, release, nn]",31.0
547,(dexamethasone/gastrin),3.0,"[agent, inhibited, nsubjpass, mrna, nn]",18.0
548,(capsaicin/trpv1),7.0,"[nsubj, inhibits, dobj, phosphorylation, prep_of]",74.0
549,(creatine/transamidinase),13.0,"[amod, hydroxylase, appos]",8.0
550,(vildagliptin/dpp-4),28.0,"[nsubj, downregulated, dobj, expression, prep_of]",66.0
551,(sulindac/survivin),15.0,"[nn, clearance, appos]",0.0
552,(rosiglitazone/mmp-9),23.0,"[amod, stimulates, nsubj]",66.0
553,(triiodothyronine/shbg),5.0,"[amod, activities, nn]",37.0
554,(resveratrol/fasl),18.0,"[nsubj, blocked, dobj]",108.0
555,(cyclophosphamide/srbc),2.0,"[nn, induction, prep_of]",97.0
556,(carvedilol/sapk),11.0,"[prep_such_as, agonists, appos]",100.0
557,(pge2/il-1ra),4.0,"[prep_of, effect, nsubjpass, mediated, agent]",68.0
558,(troglitazone/niddm),2.0,"[nsubj, regulate, dobj]",12.0
559,(atra/irs-1),3.0,"[prep_on, expression, appos]",23.0
560,(zonisamide/cyp3a4),1.0,"[appos, activity, nn]",72.0
561,(rapamycin/aicar),2.0,"[nsubjpass, used, prep_in, treatment, prep_of]",66.0
562,(axitinib/vegf),0.0,"[nsubj, decreases, dobj, expression, prep_of]",0.0
563,(norepinephrine/catechol-o-methyltransferase),6.0,"[prep, combined, pcomp, with, pobj]",0.0
564,(pge2/mpges),20.0,"[nn, inhibitors, amod]",52.0
565,(dexamethasone/cpla2),22.0,"[amod, transcription, nn]",121.0
566,(genistein/icam-1),3.0,"[amod, phosphorylation, prep_of]",47.0
567,(metoprolol/copd),6.0,"[nsubj, antagonist, prep_of, receptor, nn]",0.0
568,(oxytocin/sf-1),27.0,"[dep, substrate, prep_for]",0.0
569,(bezafibrate/l-fabp),6.0,"[dep, ligands, amod]",66.0
570,(lovastatin/icam-1),13.0,"[amod, mrna, appos]",66.0
571,(estradiol/hsp90),21.0,"[nsubj, inhibited, dobj, synthesis, nn]",7.0
572,(pimozide/gnrh),9.0,"[amod, expression, nn]",106.0
573,(scopolamine/scop),19.0,"[nn, activities, nn]",0.0
574,(curcumin/hlj1),29.0,"[prep_of, effect, dobj, investigate, prep_on]",0.0
575,(cisplatin/g-csf),18.0,"[agent, induced, nsubjpass, expression, prep_of]",44.0
576,(cyclosporine/hnf4alpha),24.0,"[nsubj, inhibits, dobj]",42.0
577,(fluorescein/cd14),9.0,"[nsubj, inhibits, prep_by]",0.0
578,(carvedilol/il-10),27.0,"[nsubj, induces, dobj, expression, amod]",77.0
579,(methylprednisolone/g-csf),11.0,"[prep_of, effects, dep]",18.0
580,(cholestyramine/acat),10.0,"[prep_such_as, antagonists, amod]",10.0
581,(genistein/sulfotransferase),23.0,"[dobj, converts, nsubj]",75.0
582,(moclobemide/mao-b),17.0,"[nsubj, affect, dobj, activity, amod]",93.0
583,(dexamethasone/mkp-1),15.0,"[dobj, transports, nsubj]",41.0
584,(gm-csf/cox-2),27.0,"[prep_of, effects, prep_for, required, nsubjpass]",68.0
585,(simvastatin/rhoa),1.0,"[nsubj, increased, acomp]",85.0
586,(simvastatin/rhob),27.0,"[prep_to, enhanced, nsubj]",25.0
587,(neostigmine/cholinesterase),12.0,"[dep, inhibitors, nn]",41.0
588,(4-methylpyrazole/cyp2e1),12.0,"[nsubj, reduced, dobj, activation, amod]",11.0
589,(melphalan/hilp),6.0,"[dep, plus, prep]",61.0
590,(moclobemide/mao-a),12.0,"[prep_of, target, amod]",94.0
591,(mivacurium/cholinesterase),17.0,"[nsubj, regulate, dobj, expression, amod]",11.0
592,(resveratrol/survivin),21.0,"[appos, protocol, nn]",7.0
593,(risperidone/cyp3a4),6.0,"[dep, substrate, prep_of]",72.0
594,(aldosterone/mcp-1),27.0,"[agent, inhibited, nsubjpass, activation, nn]",16.0
595,(fk-506/fkbp12),7.0,"[agent, induced, partmod, expression, nn]",121.0
596,(oltipraz/pai-1),0.0,"[nsubj, inhibited, prep_to]",10.0
597,(mannitol/m6pr),26.0,"[nsubj, decreased, prep_in]",0.0
598,(il-2/cd30),20.0,"[prep_with, mice, nn]",38.0
599,(tamoxifen/er-beta),9.0,"[nsubj, inhibitor, nn]",69.0
600,(fibrates/ppar),16.0,"[nsubj, suppressed, dobj, activation, prep_of]",108.0
601,(phenformin/ampk),0.0,"[prep_of, expression, appos]",42.0
602,(perazine/cyp1a2),0.0,"[xsubj, induce, dobj]",108.0
603,(il-2/cd23),13.0,"[amod, inhibitors, num]",0.0
604,(estradiol/gnrh-r),29.0,"[nsubj, suppressed, dobj, expression, nn]",105.0
605,(il-2/cd25),7.0,"[nsubj, reversed, dobj, effect, prep_of]",39.0
606,(il-1rn/il-1b),0.0,"[prep_on, production, nn]",61.0
607,(il-2/cd28),2.0,"[amod, levels, prep_of]",6.0
608,(rolipram/pde4),1.0,"[nsubj, affect, dobj, expression, amod]",118.0
609,(carnitine/crat),20.0,"[nn, complex, nn]",3.0
610,(doxepin/cyp2d6),23.0,"[prep_of, presence, prep_in]",97.0
611,(resveratrol/xbp1),17.0,"[nsubj, inhibited, dobj, activity, amod]",53.0
612,(chlorpromazine/herg),0.0,"[nsubj, antibody, partmod, targeted, prep_against]",7.0
613,(ticagrelor/p2y12),0.0,"[prep_than, inhibitor, nn]",74.0
614,(bambuterol/bche),23.0,"[nsubj, inhibits, dobj, expression, prep_of]",124.0
615,(vasopressin/lhrh),16.0,"[agent, increased, nsubjpass, expression, amod]",102.0
616,(nitrofurantoin/bcrp),15.0,"[prep_with, interacts, nsubj]",100.0
617,(ketoprofen/cox-1),1.0,"[amod, disease, appos]",12.0
618,(cisplatin/cmoat),5.0,"[prep_in, treatment, prep_of]",102.0
619,(estradiol/shbg),4.0,"[nsubj, blocked, dobj, induction, prep_of]",68.0
620,(varenicline/icer),24.0,"[amod, effects, prep_on]",84.0
621,(nifedipine/cyp3a),14.0,"[nsubj, increases, dobj, activity, amod]",117.0
622,(adomet/trna),2.0,"[appos, interleukin, appos]",117.0
623,(aldosterone/sf-1),24.0,"[nn, substrates, nn]",44.0
624,(gm-csf/ml-1),4.0,"[prep_with, treated, nsubjpass, mice, amod]",44.0
625,(itraconazole/cyp3a4),1.0,"[amod, alpha, dep]",67.0
626,(doxorubicin/tace),6.0,"[nsubj, stimulated, dobj, activity, amod]",10.0
627,(indomethacin/mmp-2),17.0,"[amod, activators, nn]",29.0
628,(propofol/ugt1a9),22.0,"[amod, resistance, prep_in]",118.0
629,(pgi2/ml-1),24.0,"[nn, pathway, nn]",103.0
630,(bortezomib/noxa),8.0,"[appos, antibody, prep_to]",92.0
631,(resveratrol/bcl-2),17.0,"[nsubj, substrate, nn]",67.0
632,(indomethacin/mmp-9),17.0,"[agent, inhibited, nsubjpass, expression, nn]",39.0
633,(celecoxib/egfr),12.0,"[prep_of, amounts, amod]",15.0
634,(indomethacin/pla2),12.0,"[appos, tnf, appos]",39.0
635,(celecoxib/cyclooxygenase-2),12.0,"[nsubj, substrates, prep_for]",0.0
636,(clopidogrel/p2y12),0.0,"[nsubj, inhibited, dobj]",80.0
637,(octreotide/igfbp-1),18.0,"[prep_for, target, nsubj]",0.0
638,(pge2/igfbp-5),27.0,"[amod, inhibitors, prep_of]",36.0
639,(ibandronate/rankl),22.0,"[nn, complex, amod]",95.0
640,(rc-160/nnos),27.0,"[dobj, transport, nsubj]",93.0
641,(simvastatin/bcl-2),21.0,"[prep_to, play, nsubj]",72.0
642,(curcumin/irak),3.0,"[nsubj, decreased, dobj, levels, prep_of]",61.0
643,(dexamethasone/gamma-glutamyltransferase),22.0,"[amod, sensitivity, prep_of]",33.0
644,(chlorambucil/amyloidosis),17.0,"[nsubj, enhanced, dobj, expression, amod]",33.0
645,(il-1ra/il-10),0.0,"[nsubj, activated, dobj]",106.0
646,(methotrexate/mrp2),14.0,"[appos, inhibitor, prep_of, kinase, amod]",85.0
647,(il-2/cd40),8.0,"[appos, inhibitor, amod]",59.0
648,(cimetidine/cyp1a2),12.0,"[nsubj, increased, dobj, phosphorylation, prep_of]",61.0
649,(sorafenib/mcl-1),21.0,"[nsubj, reduced, iobj]",38.0
650,(prostacyclin/pgl2),20.0,"[nn, isothiocyanate, dep]",43.0
651,(il-2/ap-1),0.0,"[appos, agonists, nn]",78.0
652,(paroxetine/bdnf),27.0,"[agent, inhibited, nsubjpass, activity, amod]",0.0
653,(aldosterone/leu-enkephalin),5.0,"[appos, activator, nn]",0.0
654,(hyaluronan/inter-alpha-trypsin),17.0,"[prep_with, expression, nn]",0.0
655,(methotrexate/mrp4),15.0,"[prep_to, cells, nn]",119.0
656,(imatinib/cxcr4),22.0,"[prep_for, protein, appos]",33.0
657,(gm-csf/il-1ra),3.0,"[nn, group, prep_in]",0.0
658,(n-acetyl-d-glucosamine/lectin),24.0,"[nsubj, agonist, nn]",6.0
659,(tamoxifen/hoxb13),17.0,"[prep_of, administration, nsubj, increased, dobj, levels, amod]",6.0
660,(everolimus/nets),2.0,"[nsubj, inhibited, dobj, secretion, nn]",122.0
661,(prostacyclin/pgis),20.0,"[prep_of, binding, prep_to]",66.0
662,(selegiline/cyp2b6),24.0,"[partmod, produced, agent]",49.0
663,(il-2/bfgf),18.0,"[appos, form, prep_of]",106.0
664,(clozapine/cyp1a2),17.0,"[nn, cells, nn]",63.0
665,(il-2/cd71),7.0,"[prep_on, release, amod]",70.0
666,(misoprostol/cox-2),5.0,"[dep, inhibitors, num]",123.0
667,(ivermectin/p-gp),17.0,"[dobj, using, partmod]",0.0
668,(exenatide/dpp-4),28.0,"[appos, ligands, amod]",0.0
669,(dexamethasone/ppar-gamma),22.0,"[amod, fibroblasts, amod]",92.0
670,(pgi2/cox-2),25.0,"[nsubj, reduced, dobj, expression, nn]",36.0
671,(dexamethasone/cyp3a4),17.0,"[nsubj, alter, dobj, levels, nn]",36.0
672,(il-2/cd69),19.0,"[nsubj, has, dobj, effect, prep_on]",36.0
673,(aldosterone/ctrp1),4.0,"[amod, receptors, appos]",36.0
674,(eserine/cholinesterase),12.0,"[nsubj, one, prep_of, inhibitors, nn]",36.0
675,(sevoflurane/caspase-3),26.0,"[dobj, expression, nn]",118.0
676,(everolimus/cyp3a),8.0,"[amod, enzyme, appos]",119.0
677,(tamoxifen/survivin),13.0,"[prep_of, effect, dobj, investigated, prep_on, expression, nn]",112.0
678,(g-csf/csf3r),20.0,"[prep_for, receptor, nsubj]",74.0
679,(g-csf/cd11b),9.0,"[nsubj, suppressed, dobj, expression, amod]",6.0
680,(doxorubicin/nadph),8.0,"[appos, gamma, appos]",28.0
681,(clofibrate/ppar),7.0,"[prep_on, content, amod]",121.0
682,(cytarabine/g-csf),18.0,"[prep_for, receptor, prep_as, identified, nsubjpass]",44.0
683,(nadh/reticulum),11.0,"[nsubj, increase, dobj, expression, nn]",72.0
684,(atorvastatin/nf-kappab),23.0,"[amod, treatment, prep_after]",103.0
685,(rosiglitazone/pten),27.0,"[xsubj, treat, dobj]",61.0
686,(hyaluronidase/ph-20),26.0,"[amod, gene, prep_to, linked, partmod, promoter, amod]",0.0
687,(fluorescein/cd45),9.0,"[nsubj, increased, dobj, expression, appos]",102.0
688,(il-2/cd56),17.0,"[prep_of, effect, dobj, examined, prep_on, expression, amod]",41.0
689,(octreotide/ghrelin),5.0,"[prep_of, metabolism, prep_in, involved, nsubjpass]",0.0
690,(il-2/cd54),20.0,"[amod, transport, prep_by]",0.0
691,(lansoprazole/cyp2c19),15.0,"[prep_of, metabolism, nsubjpass, catalyzed, agent]",90.0
