,drug-gene,dependency path,Drug-Gene Pair Cluster,Dependency Path Cluster
2535,(doxycycline/runx2),"[agent, caused, partmod]",26.0,0.0
2536,(pge2/cd11b),"[amod, binding, nn]",2.0,0.0
2537,(diazepam/cyp2c19),"[prep_with, performed, nsubjpass]",16.0,0.0
2538,(cisplatin/tnfr1),"[nsubj, block, dobj]",27.0,0.0
2539,(tramadol/5-ht4),"[conj_plus, adalimumab, conj_plus]",2.0,0.0
2540,(l-dopa/dynorphin),"[dobj, received, nsubj, patients, nn]",14.0,0.0
2541,(actd/ssat),"[nsubj, induce, dobj, expression, amod]",23.0,0.0
2542,(arac/rnu2),"[nsubj, antibody, rcmod, targets, dobj]",23.0,0.0
2543,(ng-monomethyl-l-arginine/et-3),"[prep_with, treated, nsubjpass, patients, nn]",18.0,119.0
2544,(gemfibrozil/fchl),"[appos, infliximab, appos]",18.0,0.0
2545,(dexamethasone/g6pdh),"[nsubj, binds, prep_to, receptor, nn]",23.0,0.0
2546,(nimesulide/vegf),"[amod, receptor, prep_of]",18.0,117.0
2547,(phenolsulfonphthalein/hoat3),"[nsubj, caused, prep_in, levels, prep_of]",14.0,0.0
2548,(carnitine/dheas),"[nsubj, inhibited, dobj, activity, nn]",18.0,89.0
2549,(hyaluronidase/alk5),"[agent, blocked, nsubjpass, expression, prep_of]",25.0,0.0
2550,(danazol/il-1),"[nsubj, activates, ccomp]",8.0,0.0
2551,(gm-csf/chitotriosidase),"[amod, hypergastrinemia, prep_with, combined, advcl, affect, dobj, hyperplasia, amod]",14.0,98.0
2552,(rosuvastatin/mrp2),"[prep_by, depletion, nn]",2.0,4.0
2553,(flurbiprofen/p75ntr),"[dep, block, dobj]",18.0,14.0
2554,(doxorubicin/smar1),"[nsubj, transactivates, dobj]",18.0,82.0
2555,(l-citrulline/nnos),"[prep_in, cells, nn]",24.0,0.0
2556,(bleomycin/epha2),"[nsubj, capable, prepc_of, inhibiting, dobj, activity, amod]",14.0,0.0
2557,(itraconazole/hbd-3),"[prep_in, combination, prep_with, factor, appos]",23.0,0.0
2558,(tetrabenazine/p-gp),"[nsubj, increased, prep_in]",20.0,23.0
2559,(pranlukast/muc5ac),"[prep_for, months, nsubj]",17.0,23.0
2560,(galantamine/inos),"[dep, g, dep]",18.0,104.0
2561,(oxytocin/phospholipase),"[prep_of, effect, nsubj, contribute, prep_through, expression, prep_of]",17.0,37.0
2562,(erythromycin/cyp3a5),"[xcomp, exposed, xcomp, assess, prep_on, currents, nn]",22.0,111.0
2563,(erythromycin/cyp3a4),"[amod, compounds, dep]",3.0,0.0
2564,(norfloxacin/spta),"[nsubj, effective, prepc_in, treating, dobj]",23.0,0.0
2565,(pentamidine/herg),"[nsubj, inhibited, prep_for, cells, amod]",11.0,0.0
2566,(triflusal/stat3),"[nsubj, displayed, dobj, inhibition, prep_of]",23.0,103.0
2567,(dextran/c1inh),"[prep_with, knockdown, amod]",18.0,0.0
2568,(creatine/caspase-3),"[prep_of, pharmacokinetics, appos]",7.0,0.0
2569,(tamoxifen/aromatase),"[prep_of, effect, dobj, investigate, prep_on, activity, amod]",3.0,2.0
2570,(gefitinib/dlts),"[amod, production, nn]",2.0,43.0
2571,(indinavir/cyp3a4),"[prep_with, treatment, nsubj, decreased, dobj, levels, nn]",16.0,67.0
2572,(guanidine/osteogenin),"[partmod, stimulated, dobj, phosphorylation, prep_of]",18.0,0.0
2573,(carrageenan/inos),"[amod, reticulata, nn]",23.0,45.0
2574,(oxaliplatin/survivin),"[nn, regulation, prep_of]",0.0,7.0
2575,(rasagiline/bcl-2),"[nsubj, has, dobj, effect, prep_on, differentiation, prepc_by, inhibiting, dobj, induction, prep_of]",27.0,7.0
2576,(fk506/rapa),"[prep_with, treatment, nsubj, increased, dobj, expression, prep_of]",18.0,118.0
2577,(phosphatidylserine/mao-b),"[dep, ciglitazone, appos, agonists, amod]",18.0,7.0
2578,(lidoflazine/herg),"[nsubj, inhibited, advcl, increased, nsubj]",14.0,54.0
2579,(metformin/erbb2),"[agent, inhibited, nsubjpass, target, appos]",27.0,7.0
2580,(pge2/pai-1),"[dep, trial, appos]",8.0,7.0
2581,(temozolomide/msh6),"[nsubj, activates, dobj, expression, nn]",23.0,7.0
2582,(gm-csf/csf-1),"[prep_on, synthesis, nn]",0.0,98.0
2583,(isoproterenol/marcks),"[prep_on, apoptosis, appos]",2.0,98.0
2584,(gefitinib/vegf),"[nn, interaction, amod]",26.0,7.0
2585,(hemin/cyp1a1),"[amod, cytokine, amod, family, prep_of, member, nsubj]",4.0,15.0
2586,(coumarin/inos),"[prep_to, agonists, amod]",24.0,124.0
2587,(fluvastatin/lrp1),"[nn, treatment, num]",29.0,124.0
2588,(saha/apaf-1),"[nsubj, blocked, prep_to]",4.0,7.0
2589,(paracetamol/udpgt),"[prep_of, uptake, prep_in, play, xsubj, transporter, appos]",27.0,65.0
2590,(il-1ra/beta-induced),"[prep_of, study, xsubj, determine, dobj, dose, appos]",13.0,42.0
2591,(fenofibrate/smad3),"[appos, substrate, appos]",27.0,79.0
2592,(pentobarbital/fosb),"[prep_on, protein, appos]",4.0,77.0
2593,(enflurane/copd),"[nsubj, inhibitor, prep_of, a, amod]",14.0,0.0
2594,(dicumarol/nqo1),"[nsubj, reduce, dobj, levels, prep_of]",22.0,0.0
2595,(carbachol/raf-1),"[prep_of, addition, nsubj, inhibited, dobj, expression, nn]",4.0,71.0
2596,(ctla4-ig/foxp3),"[amod, inhibition, prep_of, expression, amod]",2.0,113.0
2597,(pramipexole/caspase-3),"[prep_to, phosphorylated, nsubj]",9.0,20.0
2598,(pioglitazone/tgfb),"[dep, levels, dep]",15.0,42.0
2599,(docetaxel/cd71),"[nsubj, induce, xcomp, mrna, amod]",1.0,0.0
2600,(pamidronate/locs),"[nsubj, increased, prep_to]",2.0,0.0
2601,(dexamethasone/pro-opiomelanocortin),"[nsubj, increased, dobj, levels, prep_of]",8.0,16.0
2602,(antipyrine/shbg),"[dep, orphenadrine, prep_such_as, inhibitors, num]",4.0,0.0
2603,(losartan/jak2),"[nn, treatment, nsubj, had, dobj, effect, prep_on, activity, nn]",25.0,0.0
2604,(carbidopa/comt),"[prep_with, increased, nsubjpass, expression, nn]",2.0,42.0
2605,(cetuximab/ifn-gamma),"[nsubj, drug, prep_due_to, affinity, prep_toward, transporters, appos]",18.0,114.0
2606,(glcnac/calnexin),"[prep_to, sensitized, nsubj, expression, prep_of]",14.0,0.0
2607,(collagenase/il-1),"[nsubj, decreased, dobj, secretion, nn]",16.0,0.0
2608,(fentanyl/mir-190),"[prep_of, effect, dobj, investigated, prep_on, expression, prep_of]",14.0,0.0
2609,(fluoroquinolones/ugt1a1),"[nsubj, interact, prep_with]",2.0,77.0
2610,(l-dopa/comt),"[amod, treatment, nsubj, induced, dobj, expression, prep_of]",26.0,0.0
2611,(arsenite/arsc),"[nsubj, stimulate, dobj, expression, amod]",11.0,0.0
2612,(sulindac/gdf15),"[nsubj, induces, dobj, mrna, nn]",14.0,88.0
2613,(arsenite/arsb),"[nsubj, enhanced, dobj, recruitment, prep_of]",4.0,0.0
2614,(arsenite/arsh),"[prep_of, administration, appos, inhibitor, prep_of]",18.0,0.0
2615,(celecoxib/reticulum),"[prep_of, concentrations, nsubj, were, ccomp, predicted, prep_at]",19.0,0.0
2616,(evodiamine/nf-kappab),"[nsubj, increased, dobj, activation, amod]",0.0,0.0
2617,(arsenite/arsa),"[nsubj, inhibited, dobj, activation, prep_of]",25.0,0.0
2618,(indomethacin/ucp2),"[partmod, induced, dobj, expression, nn]",23.0,0.0
2619,(rosuvastatin/ntcp),"[dep, fluoxetine, dep, comedication, nsubjpass, associated, prepc_in, keeping, prep_with, action, prep_on, enzyme, amod]",14.0,3.0
2620,(paricalcitol/osteocalcin),"[prep_with, administered, nsubjpass, inhibitors, nn]",14.0,3.0
2621,(bortezomib/caveolin-1),"[nsubj, affect, dobj, levels, prep_of]",8.0,0.0
2622,(carnitine/cpt1a),"[prep_of, target, appos, antigen, amod]",18.0,3.0
2623,(thiopental/il-10),"[prep_to, cells, num]",4.0,0.0
2624,(sibutramine/statin),"[nn, treatment, nsubj]",2.0,0.0
2625,(nifedipine/cpla2),"[agent, induced, nsubjpass, mrna, nn]",18.0,0.0
2626,(il-1ra/mmp-3),"[amod, activity, prep_by]",2.0,0.0
2627,(cimetidine/cyp2c9),"[nsubj, inhibited, dobj, assayed, nn]",3.0,0.0
2628,(carnitine/cpt1c),"[nn, inhibition, prep_of]",14.0,0.0
2629,(paroxetine/glur1),"[prep_of, effects, dobj, investigate, prepc_on]",2.0,93.0
2630,(carnitine/cpt1b),"[prep_with, inhibitor, prep_of]",18.0,28.0
2631,(levosimendan/mmp-2),"[nn, ratios, nn]",8.0,0.0
2632,(gm-csf/phospholipase),"[nsubj, blocked, dobj, induction, prep_of, mrna, amod]",1.0,65.0
2633,(selegiline/cyp1a2),"[nn, production, dobj, inhibitors, nsubj]",23.0,0.0
2634,(ctla4-ig/cd154),"[agent, reversed, nsubjpass, effect, prep_of]",2.0,0.0
2635,(captopril/copd),"[nsubj, induced, dobj, production, nn]",6.0,15.0
2636,(thyroxine/alpha-mhc),"[agent, caused, partmod, damage, prep_to, exposed, advmod, when, dep, germlings, prep_of, sldi, appos]",2.0,0.0
2637,(cyclophosphamide/cctg),"[prep_by, reflected, dobj, expression, nn]",2.0,71.0
2638,(acetanilide/cyp1a2),"[prep_with, treatment, nsubj, decreased, dobj, expression, amod]",0.0,52.0
2639,(sulpiride/beta-endorphin),"[nn, release, prep_by]",28.0,0.0
2640,(arsenite/ars2),"[prep_to, oxidated, prep_by]",5.0,0.0
2641,(amobarbital/beta-glucuronidase),"[amod, activator, prep_for, receptor, appos]",26.0,7.0
2642,(verapamil/mmp1),"[amod, therapy, prep_during]",14.0,0.0
2643,(levosulpiride/5-ht4),"[dep, increased, nsubj]",2.0,0.0
2644,(epipodophyllotoxin/cyp3a4),"[dep, inhibitor, prep_for]",2.0,0.0
2645,(triamterene/vegf),"[nsubj, increased, dobj, phosphorylation, prep_of, kinase, appos]",19.0,108.0
2646,(gp120/endothelin-1),"[prep_as, follows, dep]",23.0,0.0
2647,(dexamethasone/pnmt),"[prep_for, affinity, dobj, had, nsubj]",23.0,0.0
2648,(arsenite/pi3k),"[dep, substrate, nsubj]",28.0,0.0
2649,(cyclosporin/pla2),"[nsubj, inhibits, dobj, function, prep_of]",14.0,104.0
2650,(oseltamivir/sialidase),"[advmod, inhibited, dobj, activity, nn]",12.0,0.0
2651,(carvedilol/ikappabalpha),"[prep, plus, dep, factor, appos]",14.0,0.0
2652,(thyroxine/oatp1c1),"[prep_with, stimulated, rcmod, population, nn]",15.0,0.0
2653,(pregabalin/nf-kappab),"[nn, treatment, prep_after, determined, nsubjpass, levels, nn]",20.0,0.0
2654,(mepyramine/cyclooxygenase-2),"[amod, responsiveness, prep_of]",22.0,0.0
2655,(cisapride/5-ht4),"[nsubj, increases, dobj, levels, nn]",0.0,0.0
2656,(rosiglitazone/vegf),"[amod, expression, dobj, induced, partmod]",26.0,0.0
2657,(gemfibrozil/ppar-alpha),"[nsubj, stimulated, dobj, activation, prep_of]",14.0,102.0
2658,(amiloride/coii),"[amod, release, prep_of, pathway, nn]",29.0,0.0
2659,(phosphatidylserine/ikap),"[nn, treatment, nsubj, reduced, dobj]",26.0,0.0
2660,(curcumin/lkb1),"[prep_by, balance, nn]",28.0,0.0
2661,(tamoxifen/ert2),"[prep_with, inhibition, appos]",2.0,0.0
2662,(il-2/prdm1),"[prep_by, activity, amod]",8.0,0.0
2663,(aldosterone/p-gp),"[appos, protein, nn]",14.0,57.0
2664,(forskolin/fmlp),"[appos, sulfate, appos]",18.0,0.0
2665,(rosiglitazone/ptp-1b),"[nsubj, increases, dobj, expression, nn]",13.0,0.0
2666,(analgesics/trpv1),"[nsubj, abolished, dobj, expression, nn]",15.0,0.0
2667,(cisplatin/hif-1alpha),"[prep_in, association, prep_with]",18.0,101.0
2668,(avastin/egfr),"[prep_as, antibody, prep_against]",14.0,4.0
2669,(haloperidol/egr-1),"[prep_of, ratio, appos]",29.0,89.0
2670,(geldanamycin/slc7a11),"[prep_of, presence, prep_in, induced, nsubj]",2.0,101.0
2671,(fluoroquinolones/sur1),"[prep_of, effect, dobj, mimicked, prep_on, mrna, amod]",14.0,0.0
2672,(menadione/nqo1),"[ccomp, interact, dep, fancf, appos]",18.0,0.0
2673,(vigabatrin/pat1),"[prep_of, administration, prep_after, had, dobj, decrease, prep_in, percent, prep_of, cells, amod]",18.0,0.0
2674,(il-2/dll4),"[nsubj, increases, prep_by]",15.0,0.0
2675,(flucytosine/ml-1),"[nsubj, inhibited, dobj, accumulation, prep_of]",23.0,0.0
2676,(perifosine/pi3k),"[nn, inhibitor, nn]",28.0,0.0
2677,(genistein/cdc2),"[agent, affected, nsubjpass, expression, amod]",18.0,0.0
2678,(aldosterone/caspase-3),"[nn, receptor, appos]",23.0,0.0
2679,(azithromycin/mmp-9),"[dep, activities, nn]",23.0,60.0
2680,(thyroxine/osteocalcin),"[nsubj, showed, prep_with, expression, nn]",14.0,77.0
2681,(rolipram/pde4d),"[prep_to, cells, amod]",4.0,95.0
2682,(glucosamine/inositol),"[nsubj, induced, dobj, mrna, nn]",0.0,0.0
2683,(noradrenaline/tachykinin),"[nsubj, inhibits, xcomp, potently, nsubj]",14.0,0.0
2684,(etoposide/mek1),"[prep_of, pharmacokinetics, dobj, affect, nsubj, polymorphisms, nn]",18.0,0.0
2685,(naltrexone/leu-enkephalin),"[nn, exposure, prep_by]",14.0,49.0
2686,(propranolol/pc-2),"[xsubj, genes, nn]",23.0,115.0
2687,(midazolam/cd80),"[nsubj, promoted, prep_with]",4.0,54.0
2688,(norepinephrine/slc6a2),"[nsubj, reduced, dobj, activation, prep_of]",0.0,0.0
2689,(doxorubicin/calpain-6),"[nn, dimension, dobj, showed, prep_for]",29.0,0.0
2690,(norepinephrine/slc6a4),"[prep_to, decrease, nsubj, levels, amod]",14.0,43.0
2691,(probucol/e-selectin),"[appos, inhibitor, appos]",7.0,42.0
2692,(l-histidine/sers),"[appos, heparin, prep_of, administration, nsubj, had, dobj, effect, prep_on, pools, prep_of]",23.0,0.0
2693,(prazosin/p-gp),"[agent, downregulated, nsubjpass]",21.0,0.0
2694,(defibrotide/fmlp),"[nsubj, affects, dobj]",8.0,0.0
2695,(rolipram/pde4b),"[nsubj, reduced, dobj, expression, amod]",0.0,0.0
2696,(rolipram/pde4a),"[nsubj, decreased, dobj, abundance, amod]",22.0,0.0
2697,(pitavastatin/statin),"[prep_for, required, nsubjpass]",28.0,37.0
2698,(fasudil/nf-kappab),"[amod, results, prep_by]",20.0,0.0
2699,(ciprofloxacin/leukotriene),"[prep_of, absence, prep_in]",2.0,85.0
2700,(saracatinib/oct2),"[nsubjpass, tolerated, prep_with]",2.0,0.0
2701,(taurine/connexin),"[prep_of, effect, dobj, investigated, prep_on, activation, nn]",18.0,0.0
2702,(arsenite/parp-1),"[dep, hormone, appos]",15.0,0.0
2703,(rosiglitazone/ucp1),"[prep_of, administration, prep_by, expression, amod]",1.0,12.0
2704,(paclitaxel/raidd),"[prep_of, addition, nsubj, generated, prep_in, oocytes, partmod, injected, prep_with]",23.0,12.0
2705,(disulfiram/nf-kappab),"[nn, production, dobj, stimulated, nsubj]",20.0,0.0
2706,(beta-estradiol/aromatase),"[amod, withdrawal, prep_after, reversible, parataxis, confirmed, advcl, caused, prep_in, mrna, nn]",23.0,0.0
2707,(fluorescein/mct1),"[nn, induced, nsubj, apoptosis, prep_through, activation, prep_of]",23.0,17.0
2708,(rapamycin/skp2),"[amod, rapamycin, dep]",14.0,12.0
2709,(dexamethasone/ccl5),"[num, synthase, dep]",23.0,0.0
2710,(cyclophosphamide/vegf),"[prep_of, effects, nsubjpass, mediated, agent, activation, prep_of]",18.0,0.0
2711,(rapamycin/ask1),"[xsubj, induce, dobj, activity, prep_of]",2.0,0.0
2712,(cilostazol/apoe),"[nsubj, bound, dobj]",14.0,0.0
2713,(imipramine/nadph),"[appos, agonists, amod]",14.0,0.0
2714,(dexamethasone/ccl2),"[nn, treatment, nsubj, increased, dobj, phosphorylation, prep_of, protein, appos]",25.0,0.0
2715,(dhea/sulfatase),"[amod, treatment, prep_after, changed, nsubjpass, expression, prep_of]",27.0,39.0
2716,(imatinib/gata-1),"[prep_of, addition, nsubj, restored, dobj, expression, prep_of]",14.0,103.0
2717,(spironolactone/beta3),"[nsubj, suppresses, dobj, induction, nn]",14.0,0.0
2718,(buspirone/cyp3a4),"[amod, promoter, prep_in, site, amod]",16.0,0.0
2719,(carvedilol/carmen),"[nn, alpha, nn]",2.0,0.0
2720,(pravastatin/caveolin-1),"[nn, mesylate, amod]",8.0,0.0
2721,(clozapine/spinophilin),"[ccomp, used, xcomp, manage, ccomp, include, dobj, inhibitors, appos]",14.0,20.0
2722,(etoposide/trail-r2),"[appos, agonist, amod, selective, dep]",23.0,0.0
2723,(zolmitriptan/cyp3a),"[nsubjpass, degraded, agent, a, appos]",2.0,0.0
2724,(cltx/mmp-2),"[nsubj, inducer, amod]",11.0,0.0
2725,(evodiamine/procaspase-8),"[nsubj, substrate, prep_for]",14.0,0.0
2726,(thyroxine/cholinesterase),"[prep_of, metabolism, appos]",14.0,46.0
2727,(mitomycin/p-gp),"[nsubj, recognizes, dobj, antigen, amod]",23.0,24.0
2728,(aldosterone/pai-1),"[appos, eg, dep, inhibitors, nn]",26.0,4.0
2729,(doxorubicin/mir-21),"[prep_such_as, drugs, partmod, metabolized, agent]",14.0,24.0
2730,(pyridoxine/pnpo),"[prep_with, produced, dobj]",28.0,31.0
2731,(hydralazine/dnmt),"[partmod, forming, dobj, activity, prep_of]",12.0,31.0
2732,(pitavastatin/sr-bi),"[prep_in, deferentia, nn]",27.0,24.0
2733,(vasopressin/avpr2),"[prep_in, induced, nsubj, expressing, amod]",24.0,11.0
2734,(carvedilol/icer),"[prep_of, effects, dobj, mediate, nsubj]",2.0,118.0
2735,(thyrotropin/gpcr),"[nsubj, induce, dobj, expression, prep_of]",14.0,24.0
2736,(lidocaine/mlck),"[nsubj, mimetic, nn]",19.0,46.0
2737,(aprotinin/il-10),"[nsubj, suppressed, dobj, induction, prep_of]",1.0,97.0
2738,(estradiol/lef1),"[pobj, exhibited, nsubj]",8.0,11.0
2739,(lutein/stard3),"[nsubj, blocked, dobj, expression, amod]",18.0,24.0
2740,(carbapenems/oprd),"[prep_with, treated, partmod, cells, num]",27.0,46.0
2741,(oxytocin/ec-sod),"[agent, decreased, nsubjpass, release, prep_of]",2.0,46.0
2742,(naloxone/penk),"[prep_of, presence, prep_in, expression, nn]",2.0,11.0
2743,(pentoxifylline/mac-1),"[nsubj, administration, prep_of, inhibitor, amod]",8.0,24.0
2744,(atra/thp1),"[nsubj, had, dobj, reduction, prep_in, scores, amod]",23.0,31.0
2745,(imipramine/leu-enkephalin),"[prep_with, treatment, nsubj, reduced, dobj, expression, amod]",23.0,31.0
2746,(warfarin/nqo1),"[nn, treatment, amod]",18.0,28.0
2747,(imipramine/cxcl1),"[nsubj, produced, prep_in]",25.0,0.0
2748,(genistein/ppargamma),"[dep, cysteine, prep_in, incubation, prep_after, detected, parataxis, produced, nsubj, incubation, prep_of, sections, prep_in, solution, prep_of]",13.0,22.0
2749,(itraconazole/cyp3a),"[prep_with, methotrexate, prep_for, interaction, prep_of, sites, dobj, explains, nsubj, inhibition, prep_of, uptake, prep_via]",22.0,34.0
2750,(naringenin/m-csf),"[amod, inhibitors, dep]",18.0,0.0
2751,(celecoxib/pc-3),"[nsubj, induced, dobj, increase, prep_of, expression, nn]",0.0,0.0
2752,(nitroprusside/luma),"[nsubj, antibody, partmod, directed, prep_against]",23.0,0.0
2753,(g-csf/rasgrp1),"[nn, antagonists, nn]",2.0,0.0
2754,(fgf-7/vegf),"[prep_like, inhibitors, amod]",21.0,42.0
2755,(olaparib/brca2),"[amod, a, prep_such_as, modulators, nn]",23.0,0.0
2756,(mecamylamine/ctrl),"[prep_with, treated, partmod, fibroblasts, prep_in, activity, amod]",6.0,0.0
2757,(pyridoxal/pdxk),"[prep_with, activation, amod]",7.0,0.0
2758,(imatinib/csf1r),"[amod, uptake, nsubjpass, mediated, agent]",18.0,0.0
2759,(cimetidine/cyp2d6),"[amod, regimen, rcmod, had, prep_in, children, rcmod, had, dobj]",12.0,0.0
2760,(atorvastatin/ang-1),"[prep_with, pretreatment, appos, inhibitor, amod]",18.0,0.0
2761,(forskolin/tnf-ri),"[amod, effects, prep_of, inhibitors, nn]",2.0,0.0
2762,(sulfasalazine/aicar),"[prep_toward, exhibited, nsubj]",18.0,89.0
2763,(atorvastatin/ang-2),"[prep_on, currents, nn]",2.0,0.0
2764,(trifluoperazine/pp100),"[dep, ifn, dep]",20.0,0.0
2765,(pegfilgrastim/g-csf),"[agent, inhibited, nsubjpass, levels, amod]",13.0,77.0
2766,(il-2/blimp-1),"[nn, increase, nsubj]",8.0,0.0
2767,(chloroquine/mtor),"[prep_by, inhibited, dobj, activation, prep_of]",1.0,0.0
2768,(n-acetylcysteine/escs),"[prep_of, target, nsubj, reductase, appos]",6.0,108.0
2769,(cyclophosphamide/pon1),"[nn, treatments, agent, induced, nsubjpass, expression, rcmod, encodes, dobj, delta, dep, synthetase, appos]",5.0,48.0
2770,(vinorelbine/xiap),"[prep_in, mice, nn]",5.0,48.0
2771,(iloprost/par-3),"[amod, inhibition, prep_of, activation, nn]",23.0,62.0
2772,(melatonin/sphk1),"[appos, type, prep_of, antagonist, nn]",22.0,62.0
2773,(genistein/cdk1),"[prep_of, ability, xsubj, develop, dobj, inhibitors, nn]",8.0,62.0
2774,(p-chlorophenyl/beta-galactosidase),"[nn, metabolism, appos]",13.0,62.0
2775,(cisplatin/amphiregulin),"[nsubj, induce, dobj, release, prep_of]",14.0,48.0
2776,(n-acetylcysteine/irp1),"[dep, acid, dep, drugs, prep_on, oxidase, appos, oxidase, nn]",20.0,0.0
2777,(fenfluramine/vasa),"[partmod, attached, prep_to]",10.0,0.0
2778,(bortezomib/bcl2),"[dep, substrate, amod]",8.0,0.0
2779,(indomethacin/vegf),"[prep_to, respond, nsubj]",14.0,0.0
2780,(il-2/r38a),"[amod, citrate, nsubj, inhibited, advcl, alter, prep_with, deficiency, amod]",23.0,87.0
2781,(pentoxifylline/gm-csf),"[rcmod, detoxified, agent]",10.0,0.0
2782,(genistein/cdk2),"[amod, ca, dep]",17.0,0.0
2783,(pyridoxal/pdx1),"[prep_for, target, xsubj]",5.0,0.0
2784,(prostacyclin/gpcr),"[appos, acid, prep_with, treatment, nsubj, induces, dobj, differentiation, prep_of, cells, nn]",23.0,0.0
2785,(camptothecin/rad52),"[nn, antibody, nn]",22.0,14.0
2786,(flavopiridol/hif-1alpha),"[nsubj, inhibited, xcomp, potently, nsubj]",16.0,0.0
2787,(pge2/tgfbeta),"[agent, regulated, nsubjpass, expression, prep_of]",0.0,0.0
2788,(indinavir/ugt1a1),"[prep_of, effects, prep_to, resistant, xcomp, indicating, ccomp, regulate, nsubj, target, prep_of, rapamycin, appos]",11.0,60.0
2789,(curcumin/p110),"[prep_into, metabolize, nsubj, cleavage, appos]",4.0,0.0
2790,(suramin/fgf-2),"[agent, inhibited, rcmod, activity, amod]",29.0,0.0
2791,(indomethacin/calcitonin),"[nsubj, had, advcl, affect, nsubj]",18.0,39.0
2792,(melatonin/lhrh),"[amod, mice, nn]",23.0,119.0
2793,(pravastatin/ppargamma),"[nsubj, inhibited, dobj, currents, nn]",28.0,12.0
2794,(atorvastatin/apoc-iii),"[amod, secretion, prep_on]",29.0,0.0
2795,(glucosamine/stat3),"[xsubj, decrease, dobj, levels, nn]",1.0,54.0
2796,(escitalopram/hsert),"[amod, activity, partmod, catalyzed, agent]",14.0,25.0
2797,(urokinase/nm23),"[amod, induced, nsubj, increases, advcl, stimulated, prep_in, concentrations, prep_of, antagonist, appos]",14.0,0.0
2798,(phenylephrine/hdac),"[nn, treatment, nsubj, resulted, prep_in, activity, amod]",23.0,0.0
2799,(il-2/gfap),"[amod, secretion, prep_of]",2.0,0.0
2800,(isoproterenol/il-18bp),"[xsubj, deficient, prep_in]",23.0,110.0
2801,(theophylline/ghrh),"[prep_to, exhibited, pobj]",0.0,68.0
2802,(novobiocin/mmp-2),"[prep_to, expresses, dobj]",26.0,0.0
2803,(verapamil/grp78),"[amod, pretreatment, nsubj, increased, dobj]",2.0,0.0
2804,(kanamycin/caga),"[prep_of, effects, prep_of, mediator, nsubj]",18.0,102.0
2805,(simvastatin/oatp1b1),"[nsubj, antibody, rcmod, binds, dobj]",2.0,20.0
2806,(rescinnamine/cap-2),"[agent, induced, nsubjpass, levels, nn]",23.0,81.0
2807,(rolipram/mcp-1),"[nsubj, increases, dobj, release, amod]",18.0,99.0
2808,(hyaluronidase/chondroitinase),"[prep_in, tuberalis, amod]",23.0,87.0
2809,(amitriptyline/p-gp),"[prep_with, depletion, nn]",16.0,97.0
2810,(tacrine/butyrylcholinesterase),"[nsubj, reduced, dobj, number, prep_of]",3.0,73.0
2811,(atra/cd52),"[prep_for, affinity, dobj, has, nsubj]",18.0,46.0
2812,(leflunomide/cyclooxygenase-2),"[prep_with, cells, prep_of]",3.0,0.0
2813,(ifosfamide/inos),"[appos, factor, dobj, stimulating, xcomp, factor, dep]",23.0,0.0
2814,(atra/cd38),"[prep_to, refractoriness, nsubj, relate, prep_to, regulation, prep_of, phenotype, nn]",23.0,100.0
2815,(cyanocobalamin/cblc),"[prep_with, blockade, nn]",23.0,0.0
2816,(atra/cd34),"[nsubj, reduced, iobj, activity, nn]",0.0,0.0
2817,(ritonavir/p-gp),"[nn, globulin, appos]",21.0,60.0
2818,(nimodipine/gnrh),"[nsubj, inhibited, prep_in]",18.0,0.0
2819,(isoproterenol/mcp-1),"[amod, inhibition, nn]",25.0,0.0
2820,(cisplatin/msh6),"[partmod, induced, dobj, activation, amod]",22.0,0.0
2821,(estradiol/egfr),"[prep_after, increased, nsubj, levels, nn]",14.0,112.0
2822,(cisplatin/msh2),"[dobj, received, pobj]",22.0,0.0
2823,(glcnac/lectin),"[amod, response, prep_with, associated, nsubjpass, polymorphism, nn]",15.0,0.0
2824,(aprotinin/prostasin),"[nsubj, alter, dobj, activity, amod]",23.0,0.0
2825,(dexamethasone/beta-actin),"[xcomp, catalyzes, nsubj]",23.0,0.0
2826,(atra/ap-1),"[nsubj, prevented, dobj, downregulation, prep_of, expression, amod]",3.0,0.0
2827,(nadh/mt-nd2),"[amod, treatment, nsubj, increased, dobj, mrna, amod]",27.0,0.0
2828,(cilostazol/e-selectin),"[prep_of, accumulation, appos, substrate, prep_for]",23.0,0.0
2829,(candesartan/cxcl1),"[amod, inhibitors, prep_of, activity, amod]",18.0,23.0
2830,(oxytocin/lhrh),"[nn, metabolism, prep_in, involved, nsubjpass]",0.0,0.0
2831,(ritonavir/caspase-1),"[amod, treatment, prep_after, decreased, nsubj, expression, prep_of]",0.0,95.0
2832,(c-sis/pdgfb),"[agent, induced, partmod, current, prep_of, phase, prep_of, prolongation, nsubj, that, prep_of, inhibitors, amod]",13.0,0.0
2833,(tetrabenazine/vmat2),"[nsubj, had, dobj, effect, prep_on, levels, nn]",22.0,0.0
2834,(pioglitazone/pai-1),"[prep_in, activity, amod]",0.0,0.0
2835,(cefmenoxime/pars),"[nn, synthesis, dobj, stimulates, nsubj]",14.0,0.0
2836,(exenatide/adiponectin),"[amod, oxide, prep_to, catalyzes, nsubj, synthase, appos]",29.0,99.0
2837,(fluvoxamine/cyp1a2),"[nn, signaling, nn]",9.0,1.0
2838,(tolbutamide/pepck),"[dobj, activity, amod]",28.0,113.0
