,druggene,row_indice
6246,"(ketamine,beta-endorphin)",3158
6247,"(betaine,sit1)",3159
6248,"(dexamethasone,ifng)",3160
6249,"(etoposide,mdm2)",3161
6250,"(sirolimus,fsgs)",3162
6251,"(lamivudine,5-htt)",3163
6252,"(taurine,cx32)",3164
6253,"(estradiol,tlr9)",3165
6254,"(pimozide,beta-endorphin)",3166
6255,"(nifedipine,reticulum)",3167
6256,"(estriol,ugt2b7)",3168
6257,"(spermine,inos)",3169
6258,"(mifepristone,dmbt1)",3170
6259,"(estradiol,riz1)",3171
6260,"(noradrenaline,crom)",3172
6261,"(analgesics,cyclooxygenase-2)",3173
6264,"(propranolol,calreticulin)",3174
6265,"(pyridoxal,osteocalcin)",3175
6266,"(atorvastatin,lrp1)",3176
6268,"(pioglitazone,thp1)",3177
6269,"(gabapentin,cyclooxygenase-2)",3178
6270,"(isoprenaline,egfr)",3179
6271,"(carboplatin,hsp27)",3180
6272,"(diltiazem,dhpr)",3181
6273,"(neomycin,osteopontin)",3182
6274,"(voriconazole,cyp2c19)",3183
6277,"(paricalcitol,pai-1)",3184
6278,"(arsenite,glut4)",3185
6279,"(clofarabine,dlts)",3186
6280,"(bortezomib,col1a1)",3187
6281,"(fk506,nr3c1)",3188
6282,"(corticosteroids,cr16)",3189
6283,"(pge2,srbc)",3190
6284,"(nateglinide,glp-1)",3191
6286,"(arsenite,xiap)",3192
6288,"(ouabain,ifn-gamma)",3193
6289,"(arsenite,glut1)",3194
6290,"(atra,ccnb1)",3195
6291,"(camptothecin,tsp-1)",3196
6292,"(troglitazone,icam-1)",3197
6295,"(indomethacin,cox-1)",3198
6316,"(il-2,igif)",3199
6317,"(indomethacin,cox-2)",3200
6348,"(staurosporine,inositol)",3201
6350,"(sertraline,sert)",3202
6351,"(dexamethasone,p450scc)",3203
6352,"(telmisartan,at-1)",3204
6353,"(estradiol,adiponectin)",3205
6360,"(risedronate,icer)",3206
6361,"(glibenclamide,sur2)",3207
6362,"(glibenclamide,sur1)",3208
6364,"(ctla4-ig,cd80)",3209
6366,"(indomethacin,enos)",3210
6367,"(resveratrol,ap-2alpha)",3211
6368,"(imiquimod,stat1)",3212
6369,"(desmethylastemizole,herg)",3213
6371,"(carprofen,il-1)",3214
6372,"(fenofibrate,igfbp3)",3215
6373,"(prostacyclin,phospholipase)",3216
6375,"(aldosterone,factor-1)",3217
6376,"(haloperidol,5-ht-1a)",3218
6377,"(estriol,mmp-9)",3219
6378,"(hyaluronan,tsg-6)",3220
6381,"(triamcinolone,glucose-6-phosphatase)",3221
6382,"(erlotinib,erbb)",3222
6383,"(verapamil,lhrh)",3223
6384,"(pravastatin,niddm)",3224
6385,"(terbinafine,mnx1)",3225
6386,"(sunitinib,asps)",3226
6387,"(telmisartan,at1r)",3227
6394,"(collagenase,bfgf)",3228
6397,"(dexamethasone,caveolin-1)",3229
6398,"(rapamycin,tlr5)",3230
6399,"(rapamycin,tlr4)",3231
6400,"(dipyridamole,osteopontin)",3232
6401,"(desferrioxamine,bach1)",3233
6402,"(erythromycin,cyp4f11)",3234
6403,"(docetaxel,p-gp)",3235
6406,"(salbutamol,adrb2)",3236
6407,"(dobutamine,mucin)",3237
6408,"(trastuzumab,bnip3l)",3238
6409,"(glcnac,nagk)",3239
6410,"(indomethacin,bcrp)",3240
6411,"(labetalol,fmlp)",3241
6412,"(carnitine,adiponectin)",3242
6413,"(rifampin,p-gp)",3243
6416,"(dhea,ppar)",3244
6418,"(mitotane,hsd3b2)",3245
6419,"(atra,tsp-1)",3246
6420,"(ouabain,alpha1)",3247
6428,"(rosiglitazone,ghrelin)",3248
6430,"(creatine,tead-1)",3249
6433,"(terbutaline,gastrin)",3250
6436,"(doxycycline,irf-1)",3251
6437,"(mexiletine,cyp1a2)",3252
6441,"(fenofibrate,cyp2c9)",3253
6442,"(flurbiprofen,pghs-2)",3254
6443,"(doxycycline,irf-2)",3255
6444,"(metoprolol,caspase-3)",3256
6445,"(dexamethasone,aipc)",3257
6446,"(phosphatidylserine,dgka)",3258
6447,"(bifonazole,ml-1)",3259
6448,"(proguanil,dhfr)",3260
6449,"(gemcitabine,nme5)",3261
6450,"(brivanib,sulfotransferase)",3262
6451,"(forskolin,nf-kappab)",3263
6452,"(simvastatin,rac-1)",3264
6453,"(atra,p110beta)",3265
6454,"(tryptophane,tryptophanase)",3266
6455,"(simvastatin,muc5ac)",3267
6456,"(amd3100,cxcr-4)",3268
6457,"(rapamycin,rantes)",3269
6458,"(imatinib,nrf2)",3270
6459,"(physostigmine,beta-endorphin)",3271
6460,"(taurine,cx26)",3272
6462,"(cimetidine,gastrin)",3273
6478,"(hyaluronan,fgf-2)",3274
6479,"(docetaxel,caspase-3)",3275
6481,"(estradiol,pgd2)",3276
6482,"(atra,nedd9)",3277
6483,"(diltiazem,agas)",3278
6484,"(trifluoperazine,phospholipase)",3279
6486,"(bortezomib,pp2a)",3280
6487,"(ornithine,bfgf)",3281
6488,"(bezafibrate,tysnd1)",3282
6489,"(ndga,ap-1)",3283
6490,"(mannitol,nadph)",3284
6491,"(estriol,aromatase)",3285
6493,"(levamisole,tnap)",3286
6495,"(cilengitide,cd133)",3287
6496,"(flunarizine,nqo1)",3288
6497,"(albuterol,hsp72)",3289
6498,"(dexamethasone,ghrelin)",3290
6499,"(metformin,chemerin)",3291
6501,"(diphenhydramine,mucin)",3292
6502,"(thiopentone,adrenocorticotropin)",3293
6503,"(imipramine,asmase)",3294
6504,"(oxazepam,ml-1)",3295
6505,"(fibrates,nf-kappab)",3296
6506,"(atra,pai-1)",3297
6507,"(dexamethasone,myod1)",3298
6508,"(rosiglitazone,caveolin-1)",3299
6509,"(hydroxyzine,p300)",3300
6511,"(imiquimod,il-1ra)",3301
6512,"(pravastatin,oat3)",3302
6513,"(vasopressin,aqp-2)",3303
6514,"(erythromycin,drd3)",3304
6515,"(pentoxifylline,ctgf)",3305
6516,"(mitomycin,thio)",3306
6517,"(dextran,copd)",3307
6518,"(pioglitazone,cd36)",3308
6519,"(novobiocin,hsp90)",3309
6528,"(pioglitazone,ap-1)",3310
6529,"(genistein,erk-1)",3311
6530,"(atra,cd11b)",3312
6531,"(salbutamol,cgrp)",3313
6533,"(pioglitazone,cd40)",3314
6534,"(chloroquine,leukotriene)",3315
6537,"(pyridoxal,apoprotein)",3316
6538,"(glimepiride,nf-kappab)",3317
6539,"(hyaluronan,has1)",3318
6551,"(hyaluronan,has3)",3319
6555,"(estradiol,sult1e1)",3320
6556,"(hyaluronan,has2)",3321
6571,"(pravastatin,oatp)",3322
6573,"(quazepam,cyp3a4)",3323
6577,"(losartan,adiponectin)",3324
6580,"(curcumin,nm23)",3325
6581,"(capsaicin,tnox)",3326
6585,"(nilotinib,c-abl)",3327
6586,"(dexamethasone,igfbp-1)",3328
6593,"(hydrocortisone,ghrh)",3329
6594,"(sorafenib,snai1)",3330
6595,"(dexamethasone,igfbp-6)",3331
6597,"(dexamethasone,igfbp-5)",3332
6599,"(dexamethasone,igfbp-4)",3333
6601,"(dexamethasone,igfbp-3)",3334
6604,"(acarbose,mcp-1)",3335
6605,"(haloperidol,inositol)",3336
6607,"(aldosterone,edn1)",3337
6609,"(etoposide,wnt3a)",3338
6610,"(rosiglitazone,ppargamma)",3339
6676,"(cisplatin,stk17b)",3340
6677,"(bexarotene,survivin)",3341
6678,"(cisplatin,stk17a)",3342
6679,"(celecoxib,5-lox)",3343
6680,"(carvedilol,parp)",3344
6681,"(gm-csf,ifn-gamma)",3345
6706,"(forskolin,grk1)",3346
6707,"(chlorpromazine,acta)",3347
6708,"(fluorescein,tjp1)",3348
6709,"(ogen,colipase)",3349
6710,"(simvastatin,caspase-3)",3350
6712,"(simvastatin,caspase-1)",3351
6713,"(phenobarbitone,gamma-glutamyltransferase)",3352
6714,"(etomidate,ml-1)",3353
6716,"(pimozide,calmodulin)",3354
6721,"(resveratrol,caspase-3)",3355
6723,"(mifepristone,nhe1)",3356
6724,"(plerixafor,cd34)",3357
6727,"(hyaluronate,mesoderm)",3358
6729,"(mirtazapine,adra2a)",3359
6730,"(simvastatin,p-gp)",3360
6733,"(gm-csf,m-csf)",3361
6762,"(galantamine,nachr)",3362
6765,"(berberine,cox-2)",3363
6769,"(carboplatin,hsp40)",3364
6770,"(camptothecin,caspase-8)",3365
6771,"(gentamicin,trpa1)",3366
6772,"(noradrenaline,hoxb9)",3367
6773,"(quetiapine,srebp-1)",3368
6774,"(forskolin,cchcr1)",3369
6775,"(bortezomib,vegf)",3370
6777,"(ritonavir,oatp1b1)",3371
6778,"(estradiol,sult1a1)",3372
6779,"(fluoxetine,bdnf)",3373
6784,"(beclomethasone,leukotriene)",3374
6785,"(ceftriaxone,eaat2)",3375
6788,"(noradrenaline,creb)",3376
6789,"(atra,foxp3)",3377
6790,"(genistein,s1p1)",3378
6791,"(bortezomib,dlts)",3379
6792,"(berberine,glp-1)",3380
6795,"(dexamethasone,gdnf)",3381
6796,"(methotrexate,hoat3)",3382
6797,"(aldosterone,alpha-msh)",3383
6801,"(methotrexate,hoat1)",3384
6802,"(amikacin,ml-1)",3385
6803,"(ru486,cox-1)",3386
6804,"(sn-38,cdc6)",3387
6805,"(phenylephrine,il-1)",3388
6806,"(ru486,cox-2)",3389
6807,"(infliximab,vegf)",3390
6810,"(iloprost,cd86)",3391
6811,"(pge2,cpla2)",3392
6814,"(dexamethasone,pthrp)",3393
6819,"(iloprost,cd80)",3394
6820,"(losartan,at-1)",3395
6824,"(ru486,enos)",3396
6825,"(curcumin,nkx3)",3397
6826,"(saha,stat6)",3398
6827,"(dexamethasone,mpges)",3399
6829,"(nitrendipine,adenosinetriphosphatase)",3400
6831,"(clopidogrel,bicc)",3401
6832,"(saquinavir,reticulum)",3402
6833,"(urokinase,fsgs)",3403
6834,"(pioglitazone,osteocalcin)",3404
6835,"(doxorubicin,erk2)",3405
6836,"(secretin,pla2)",3406
6837,"(risperidone,enos)",3407
6838,"(dirithromycin,cyp3a)",3408
6840,"(gatifloxacin,mrp2)",3409
6841,"(valacyclovir,bphl)",3410
6843,"(camptothecin,caspase-3)",3411
6844,"(curcumin,mcp-1)",3412
6852,"(quetiapine,nnos)",3413
6853,"(simvastatin,pai-1)",3414
6860,"(gm-csf,csf2rb)",3415
6861,"(montelukast,cyslt2)",3416
6862,"(montelukast,cyslt1)",3417
6870,"(chloramphenicol,ho-1)",3418
6871,"(sorafenib,raf1)",3419
6872,"(gm-csf,csf2ra)",3420
6873,"(mifepristone,pc-3)",3421
6875,"(amantadine,neuraminidase)",3422
6877,"(phosphatidylserine,gas6)",3423
6879,"(minocycline,bcl-2)",3424
6881,"(dexamethasone,beta-casein)",3425
6884,"(dhea,glucose-6-phosphatase)",3426
6885,"(fasudil,mmp9)",3427
6886,"(indomethacin,kininogen)",3428
6887,"(resveratrol,caspase-9)",3429
6888,"(methimazole,cyp2e1)",3430
6889,"(pirenzepine,copd)",3431
6890,"(resveratrol,caspase-8)",3432
6891,"(etoposide,cd34)",3433
6893,"(simvastatin,cd133)",3434
6894,"(calcitriol,mzf-1)",3435
6895,"(memantine,bdnf)",3436
6897,"(pravastatin,pon1)",3437
6898,"(melatonin,nrf2)",3438
6899,"(isoproterenol,sec6)",3439
6900,"(methacholine,il-5)",3440
6901,"(genistein,vegf)",3441
6907,"(sunitinib,egfr)",3442
6908,"(muraglitazar,cyp2c8)",3443
6909,"(beclomethasone,copd)",3444
6911,"(fluorescein,cd42b)",3445
6912,"(fibrates,apociii)",3446
6913,"(mk-571,sasp)",3447
6914,"(temsirolimus,ifn-alpha)",3448
6915,"(mitoxantrone,nfkappab)",3449
6916,"(chlorpromazine,nachr)",3450
6918,"(rapamycin,pi3k)",3451
6939,"(resveratrol,foxo1)",3452
6943,"(clonidine,inos)",3453
6947,"(phentolamine,pins)",3454
6948,"(dexamethasone,igf-i)",3455
6961,"(hydroxyurea,nbs1)",3456
6962,"(l-isoleucine,mtor)",3457
6963,"(losartan,il-10)",3458
6964,"(dexamethasone,cox-1)",3459
6965,"(dexamethasone,cox-2)",3460
6989,"(trastuzumab,rhob)",3461
6990,"(atra,rtp801)",3462
6991,"(azidothymidine,p33ing1b)",3463
6992,"(beta-estradiol,g6pd)",3464
6993,"(itraconazole,ml-1)",3465
6994,"(paliperidone,kcne1)",3466
6995,"(atra,caspase-1)",3467
6996,"(talpha1,p-gp)",3468
6997,"(paclitaxel,m-csf)",3469
6998,"(zanamivir,neuraminidase)",3470
7026,"(streptokinase,alpha-2-antiplasmin)",3471
7027,"(losartan,il-18)",3472
7028,"(dexamethasone,rps19)",3473
7029,"(dexamethasone,romk)",3474
7030,"(abatacept,ctla-4)",3475
7031,"(ondansetron,cgrp)",3476
7032,"(indomethacin,ppargamma)",3477
7034,"(oxytocin,malat1)",3478
7035,"(daunorubicin,prolidase)",3479
7039,"(cyclosporine,serca2)",3480
7040,"(galanthamine,cholinesterase)",3481
7044,"(rapamycin,eif4e)",3482
7048,"(lidocaine,mcp-1)",3483
7049,"(procaterol,rantes)",3484
7050,"(ritonavir,cd36)",3485
7051,"(hydroxytryptamine,htr2a)",3486
7052,"(estradiol,itpr1)",3487
7053,"(mitomycin,rad51)",3488
7054,"(losartan,at1r)",3489
7062,"(montelukast,cyslt1r)",3490
7063,"(atra,p-gp)",3491
7064,"(lovastatin,hdac2)",3492
7065,"(captopril,ov-1)",3493
7066,"(rapamycin,eif3i)",3494
7067,"(metformin,pkc-zeta)",3495
7068,"(carbachol,rgs6)",3496
7069,"(hyaluronidase,cox-2)",3497
7070,"(carbachol,rgs2)",3498
7072,"(vincristine,hbubr1)",3499
7073,"(lubiprostone,clc2)",3500
7074,"(sulphasalazine,15-pgdh)",3501
7075,"(amitriptyline,ap-1)",3502
7076,"(corticosteroids,cox2)",3503
7077,"(astemizole,ml-1)",3504
7078,"(zolmitriptan,5-ht1d)",3505
7079,"(docetaxel,tsp-1)",3506
7080,"(capsaicin,phospholipase)",3507
7082,"(cisplatin,brca1)",3508
7088,"(zolmitriptan,5-ht1b)",3509
7092,"(suramin,egr-1)",3510
7093,"(budesonide,ap-1)",3511
7094,"(gm-csf,il-27)",3512
7095,"(estradiol,mct-1)",3513
7096,"(naloxone,mor-1)",3514
7098,"(thyroglobulin,hedj)",3515
7099,"(forskolin,nur77)",3516
7100,"(epirubicin,mdr1)",3517
7101,"(gliclazide,niddm)",3518
7102,"(tetraiodothyronine,adrenocorticotropin)",3519
7103,"(budesonide,cd34)",3520
7104,"(dipyridamole,pde5)",3521
7112,"(melatonin,bcl-2)",3522
7116,"(ketoprofen,oat1)",3523
7117,"(gm-csf,il-13)",3524
7124,"(levamisole,thymopoietin)",3525
7125,"(gm-csf,il-15)",3526
7128,"(gm-csf,il-16)",3527
7130,"(gm-csf,il-10)",3528
7141,"(naltrexone,cgrp)",3529
7142,"(gm-csf,il-11)",3530
7146,"(il-11,gm-csf)",3531
7149,"(pranlukast,cyslt1)",3532
7154,"(cetuximab,egfr)",3533
7241,"(gm-csf,il-18)",3534
7245,"(cysteamine,gastrin)",3535
7252,"(chloroquine,agas)",3536
7253,"(guanidine,nhe1)",3537
7254,"(amifostine,hmsh2)",3538
7255,"(telmisartan,abca1)",3539
7258,"(abciximab,p-selectin)",3540
7261,"(glibenclamide,cftr)",3541
7276,"(capsaicin,pacap)",3542
7277,"(pentoxifylline,iddm)",3543
7278,"(dexamethasone,hsp27)",3544
7279,"(dexamethasone,perilipin)",3545
7280,"(genistein,aromatase)",3546
7284,"(carprofen,nadph)",3547
7285,"(oxycodone,creb)",3548
7286,"(urokinase,cd14)",3549
7287,"(ramipril,ace2)",3550
7289,"(gm-csf,il-32)",3551
7290,"(azacytidine,reck)",3552
7291,"(octreotide,arg1)",3553
7292,"(pitavastatin,p-gp)",3554
7293,"(d-amphetamine,amph)",3555
7301,"(isoproterenol,alpha-msh)",3556
7302,"(rituximab,cd32a)",3557
7303,"(tamoxifen,her-2)",3558
7308,"(risperidone,cyp2d6)",3559
7315,"(melatonin,irs-1)",3560
7316,"(infliximab,gastrin)",3561
7317,"(propofol,p-selectin)",3562
7318,"(rituximab,bcl-2)",3563
7319,"(pge2,sar1)",3564
7320,"(gentamicin,cap18)",3565
7321,"(rapamycin,beclin-1)",3566
7322,"(il-2,prgs)",3567
7323,"(sirolimus,apoprotein)",3568
7324,"(flutamide,ho-1)",3569
7325,"(il-1ra,cox-2)",3570
7326,"(l-asparagine,trna)",3571
7327,"(troglitazone,ctgf)",3572
7328,"(estriol,transcortin)",3573
7329,"(resveratrol,trif)",3574
7330,"(dexamethasone,myhc)",3575
7331,"(rabeprazole,mucin)",3576
7333,"(rimonabant,cnr1)",3577
7334,"(urokinase,cd34)",3578
7335,"(6-mercaptopurine,tpmt)",3579
7339,"(oltipraz,nrf2)",3580
7342,"(il-1ra,igf-i)",3581
7343,"(troglitazone,bsep)",3582
7344,"(epirubicin,apoprotein)",3583
7345,"(ddavp,p-selectin)",3584
7349,"(naphthol,sir2)",3585
7350,"(paclitaxel,tlr4)",3586
7352,"(pertuzumab,erbb2)",3587
7353,"(ethionamide,etha)",3588
7354,"(dexamethasone,cyp2e1)",3589
7358,"(imatinib,hoct1)",3590
7359,"(filgrastim,lenograstim)",3591
7367,"(lenograstim,filgrastim)",3592
7377,"(pranlukast,cyslt1r)",3593
7378,"(minocycline,fmr1)",3594
7380,"(apap,hsp70i)",3595
7382,"(gm-csf,flt3l)",3596
7384,"(estradiol,nudt2)",3597
7385,"(valspodar,aggrecan)",3598
7386,"(carboplatin,cdk5)",3599
7387,"(timolol,optn)",3600
7389,"(sotalol,eraf)",3601
7390,"(chloroquine,dhps)",3602
7391,"(clavulanate,copd)",3603
7392,"(imatinib,c-abl)",3604
7409,"(l-cycloserine,gaba-at)",3605
7410,"(azathioprine,cd16)",3606
7411,"(phenformin,lkb1)",3607
7412,"(carotenoid,al-1)",3608
7414,"(quinolines,5-lipoxygenase)",3609
7415,"(donepezil,igf-i)",3610
7417,"(hyaluronan,aggrecan)",3611
7422,"(hydrocortisone,enterokinase)",3612
7423,"(fenoterol,creb)",3613
7424,"(6-mercaptopurine,sers)",3614
7425,"(panitumumab,braf)",3615
7426,"(temazepam,p300)",3616
7427,"(estradiol,timp-1)",3617
7428,"(spermine,ck-1)",3618
7429,"(iptakalim,endothelin-1)",3619
7430,"(chloramphenicol,atg12)",3620
7431,"(spermine,ck-3)",3621
7432,"(losartan,ifn-gamma)",3622
7433,"(corticotropin,igf-i)",3623
7434,"(urokinase,cd87)",3624
7440,"(ofloxacin,ldh-x)",3625
7441,"(dexamethasone,cyp2c8)",3626
7442,"(eprosartan,at1r)",3627
7443,"(propofol,ho-1)",3628
7445,"(chloroquine,dhfr)",3629
7446,"(capsaicin,glur1)",3630
7447,"(rosiglitazone,fpld2)",3631
7448,"(ara-c,wee1)",3632
7449,"(paricalcitol,mcp-1)",3633
7450,"(cisplatin,il-1)",3634
7451,"(chlorpromazine,fgfr1)",3635
7452,"(2-methoxyestradiol,tebg)",3636
7453,"(cisplatin,chk1)",3637
7455,"(fk506,pcna)",3638
7456,"(methotrexate,lymphokine)",3639
7457,"(atra,mkp1)",3640
7458,"(paclitaxel,il-10)",3641
7459,"(raloxifene,inos)",3642
7460,"(nadh,mononucleotide)",3643
7465,"(dexamethasone,cyp2a6)",3644
7466,"(glucosamine,nagk)",3645
7467,"(prednisolone,cpap)",3646
7468,"(simvastatin,pparalpha)",3647
7471,"(pge2,gm-csf)",3648
7475,"(paracetamol,cyclooxygenase-2)",3649
7477,"(deoxyadenosine,gatc)",3650
7478,"(glucosamine,agps)",3651
7479,"(metformin,mate1)",3652
7481,"(perospirone,cyp3a4)",3653
7483,"(paracetamol,cyclooxygenase-1)",3654
7484,"(mebendazole,ml-1)",3655
7485,"(chlorzoxazone,cyp2c19)",3656
7486,"(genistein,p21ras)",3657
7487,"(metronidazole,ml-1)",3658
7490,"(reteplase,alteplase)",3659
7497,"(alteplase,reteplase)",3660
7505,"(ciprofloxacin,il-1)",3661
7506,"(paclitaxel,il-24)",3662
7507,"(hyaluronate,ht-1080)",3663
7508,"(indomethacin,sacs)",3664
7509,"(indomethacin,hsp60)",3665
7510,"(resveratrol,pparalpha)",3666
7511,"(pegfilgrastim,cxcr4)",3667
7512,"(amiloride,calmodulin)",3668
7513,"(rapamycin,timp-3)",3669
7514,"(rapamycin,timp-1)",3670
7515,"(5-asa,egfr)",3671
7516,"(colchicine,stx1)",3672
7517,"(naringenin,ldlr)",3673
7519,"(dexamethasone,bmp2)",3674
7520,"(prasugrel,cyp2c9)",3675
7521,"(cisplatin,pidd)",3676
7522,"(riluzole,hsf1)",3677
7523,"(tamoxifen,hoxa10)",3678
7524,"(fentanyl,beta-endorphin)",3679
7526,"(rifabutin,cyp3a)",3680
7528,"(dexamethasone,col7a1)",3681
7529,"(prasugrel,cyp2b6)",3682
7530,"(bisphosphonates,calcitonin)",3683
7534,"(ornithine,c-raf)",3684
7535,"(gm-csf,tlr3)",3685
7536,"(gemcitabine,rad51)",3686
7538,"(gm-csf,tlr2)",3687
7539,"(hydrocortisone,occludin)",3688
7541,"(mitoxantrone,reticulum)",3689
7542,"(imiquimod,ogfr)",3690
7543,"(trans-3,ugt2b7)",3691
7544,"(ceftriaxone,g6pd)",3692
7545,"(levonorgestrel,beta-glucuronidase)",3693
7546,"(ketoprofen,calcitonin)",3694
7547,"(pilocarpine,kallikrein)",3695
7548,"(trifluoperazine,mucin)",3696
7549,"(benzaldehyde,dt-diaphorase)",3697
7550,"(atra,trkb)",3698
7551,"(eprosartan,at-1)",3699
7553,"(rapamycin,abca1)",3700
7554,"(dronedarone,cyp2d6)",3701
7555,"(tranylcypromine,bdnf)",3702
7556,"(gm-csf,flt-3)",3703
7557,"(metformin,slc22a2)",3704
7558,"(fk506,sp-a)",3705
7560,"(pge2,oxytocinase)",3706
7561,"(melphalan,gm-csf)",3707
7562,"(gm-csf,rantes)",3708
7563,"(perphenazine,agas)",3709
7564,"(fk506,ap-1)",3710
7565,"(nadh,dhrs10)",3711
7566,"(l-dopa,mao-b)",3712
7567,"(l-dopa,mao-a)",3713
7568,"(dexamethasone,t-bet)",3714
7569,"(leucovorin,g-csf)",3715
7570,"(dexamethasone,gmcsf)",3716
7571,"(imipenem,dehydropeptidase-i)",3717
7572,"(fenofibrate,ppargamma)",3718
7575,"(neomycin,casr)",3719
7577,"(vasopressin,cgrp)",3720
7578,"(tolbutamide,egr-1)",3721
7580,"(cytarabine,ifn-alpha)",3722
7582,"(genistein,pten)",3723
7583,"(sertindole,homer1b)",3724
7584,"(cilomilast,pde4)",3725
7594,"(methotrexate,il-1ra)",3726
7595,"(urokinase,edrf)",3727
7596,"(efalizumab,cd11a)",3728
7610,"(abatacept,cd80)",3729
7611,"(paracetamol,5-ht1b)",3730
7612,"(melatonin,5-ht4)",3731
7613,"(alprazolam,cyp3a)",3732
7616,"(aldosterone,p450c11)",3733
7617,"(haloperidol,bdnf)",3734
7620,"(dexamethasone,creb)",3735
7622,"(aldosterone,p450c18)",3736
7624,"(estradiol-17beta,il-18)",3737
7625,"(aldosterone,p450c17)",3738
7626,"(mimosine,kim-1)",3739
7627,"(novobiocin,bcrp)",3740
7628,"(estradiol,ifn-gamma)",3741
7629,"(cyclosporin,inos)",3742
7632,"(gemcitabine,cd30)",3743
7633,"(atra,mcp-1)",3744
7634,"(terbutaline,vegf)",3745
7635,"(cisplatin,her2)",3746
7636,"(ribavirin,ent1)",3747
7638,"(diazepam,tspo)",3748
7639,"(ropinirole,gdnf)",3749
7641,"(corticosteroids,tarc)",3750
7642,"(chloroquine,beta-galactosidase)",3751
7643,"(hydroquinone,nqo1)",3752
7645,"(ru486,fgfr-1)",3753
7646,"(estrone,herg)",3754
7647,"(l-isoproterenol,gnrh)",3755
7648,"(trifluoperazine,ifn-beta)",3756
7649,"(menadione,egfr)",3757
7650,"(nilutamide,cyp27a1)",3758
7651,"(mithramycin,ubiquitin)",3759
7652,"(diazepam,ml-1)",3760
7653,"(darapladib,phospholipase)",3761
7654,"(micafungin,catechol-o-methyltransferase)",3762
7655,"(naproxen,ho-1)",3763
7656,"(ampicillin,il-10)",3764
7657,"(lovastatin,ikappabalpha)",3765
7659,"(propranolol,gm-csf)",3766
7660,"(sirolimus,cd25)",3767
7661,"(beta-estradiol,bcrp)",3768
7662,"(filgrastim,cd34)",3769
7665,"(gliclazide,vegf)",3770
7666,"(furosemide,talh)",3771
7667,"(aldosterone,mlph)",3772
7668,"(clarithromycin,cyp3a)",3773
7674,"(flumazenil,agas)",3774
7676,"(paracetamol,ml-1)",3775
7678,"(aldosterone,nedd4-2)",3776
7679,"(dexamethasone,g6pd)",3777
7680,"(temozolomide,gal1)",3778
7681,"(pge2,cyp19)",3779
7685,"(desipramine,mc1r)",3780
7686,"(mitomycin,dna-pkcs)",3781
7687,"(dextromethorphan,cyp2d6)",3782
7714,"(kanamycin,nramp1)",3783
7715,"(dasatinib,stat3)",3784
7717,"(pge2,fra-2)",3785
7718,"(clofibrate,apoc-iii)",3786
7719,"(dasatinib,stat5)",3787
7721,"(olmesartan,ace2)",3788
7722,"(oxycodone,cyp2d6)",3789
7725,"(simvastatin,sdf1)",3790
7726,"(celecoxib,tcf-1)",3791
7728,"(lovastatin,aqp2)",3792
7729,"(estradiol,lef-1)",3793
7730,"(lactulose,beta-galactosidase)",3794
7731,"(rosiglitazone,cyp2c8)",3795
7736,"(rosiglitazone,cyp2c9)",3796
7737,"(fluorescein,lhrh)",3797
7739,"(curcumin,caspase-3)",3798
7744,"(beta-estradiol,igf-i)",3799
7746,"(dextromethorphan,cyp2e1)",3800
7747,"(filgrastim,cd14)",3801
7749,"(dexamethasone,crip)",3802
7750,"(filgrastim,cd16)",3803
7751,"(tropisetron,oct1)",3804
7752,"(aluminium,phospholipase)",3805
7753,"(cilostazol,trpc6)",3806
7754,"(paclitaxel,pi3k)",3807
7756,"(gemcitabine,cd34)",3808
7757,"(pge2,mpges-2)",3809
7758,"(pge2,mpges-1)",3810
7764,"(pitavastatin,pref-1)",3811
7765,"(isoproterenol,cd25)",3812
7766,"(isoproterenol,cholinesterase)",3813
7767,"(menadione,atf1)",3814
7768,"(roflumilast,ho-1)",3815
7769,"(gm-csf,nkrp1a)",3816
7770,"(curcumin,p-gp)",3817
7774,"(simvastatin,cyr61)",3818
7775,"(pantoprazole,bcrp1)",3819
7776,"(cefepime,ml-1)",3820
7777,"(imatinib,bcl-x)",3821
7779,"(hesperidin,nf-kappab)",3822
7780,"(dexamethasone,blt1)",3823
7781,"(olanzapine,ggf2)",3824
7782,"(urokinase,alpha-msh)",3825
7783,"(imatinib,irs-1)",3826
7784,"(rapamycin,m-csf)",3827
7785,"(imatinib,irs-2)",3828
7786,"(diazepam,5-ht1a)",3829
7787,"(quinacrine,phospholipase)",3830
7807,"(deferoxamine,ap-1)",3831
7808,"(salbutamol,copd)",3832
7813,"(bupropion,bdnf)",3833
7814,"(doxycycline,dach1)",3834
7815,"(dhea,cyp11a1)",3835
7818,"(nadh,tyky)",3836
7819,"(gentamicin,srbc)",3837
7820,"(etoposide,trf2)",3838
7821,"(ritonavir,sr-bi)",3839
7822,"(il-2,zeb1)",3840
7823,"(metformin,adipor1)",3841
7824,"(naringenin,mucin)",3842
7825,"(ceftazidime,clcr)",3843
7826,"(curcumin,pai-1)",3844
7828,"(fgf-7,bmp4)",3845
7829,"(troglitazone,p27kip1)",3846
7830,"(collagenase,acpp)",3847
7831,"(debrisoquin,cyp2d6)",3848
7834,"(doxorubicin,atg2a)",3849
7835,"(cyclophosphamide,cyp2b6)",3850
7837,"(curcumin,pdk1)",3851
7838,"(atra,connexin)",3852
7840,"(simvastatin,mcp-1)",3853
7845,"(genistein,mmp-9)",3854
