,path,column_indice
22225,"[agent, involved, nsubjpass, induction, prep_of]",294
16320,"[agent, stimulated, partmod, release, nn]",295
6433,"[agent, stimulated, partmod, release, nn]",295
26807,"[agent, stimulated, partmod, release, nn]",295
3883,"[nn, synthesis, prep_in, involved, nsubjpass]",296
6229,"[nn, synthesis, prep_in, involved, nsubjpass]",296
8972,"[nn, synthesis, prep_in, involved, nsubjpass]",296
9220,"[nsubj, exerts, dobj, effect, prep_on]",297
5504,"[nsubj, exerts, dobj, effect, prep_on]",297
2662,"[nsubj, exerts, dobj, effect, prep_on]",297
16930,"[agent, affected, nsubjpass, levels, nn]",298
25271,"[agent, affected, nsubjpass, levels, nn]",298
15350,"[nsubj, inhibits, dobj, phosphorylation, nn]",299
2773,"[nsubj, inhibits, dobj, phosphorylation, nn]",299
18191,"[nsubj, inhibits, dobj, phosphorylation, nn]",299
11038,"[nsubj, had, dobj]",300
72,"[nsubj, had, dobj]",300
12237,"[nsubj, had, dobj]",300
3679,"[nsubj, had, dobj]",300
26471,"[nsubj, had, dobj]",300
454,"[nsubj, had, dobj]",300
7899,"[dep, antagonism, nsubj, had, advcl, depressed, nsubj, inhibitors, amod]",302
17750,"[dep, antagonism, nsubj, had, advcl, depressed, nsubj, inhibitors, amod]",302
4016,"[amod, block, prep_of, channels, nn]",303
8025,"[amod, block, prep_of, channels, nn]",303
22431,"[appos, factor, prep_with, collected, nsubjpass, cells, nn]",304
11242,"[appos, factor, prep_with, collected, nsubjpass, cells, nn]",304
11853,"[nsubj, augment, dobj, production, amod]",306
13870,"[nsubj, augment, dobj, production, amod]",306
27205,"[prep_of, action, dep]",307
21021,"[prep_on, production, appos]",308
4870,"[appos, activity, amod]",309
21174,"[appos, activity, amod]",309
28038,"[appos, activity, amod]",309
25018,"[appos, activity, amod]",309
5491,"[appos, activity, amod]",309
17882,"[appos, activity, amod]",309
21034,"[appos, activity, amod]",309
3305,"[xsubj, inhibit, dobj, secretion, nn]",310
15756,"[xsubj, inhibit, dobj, secretion, nn]",310
21365,"[xsubj, inhibit, dobj, secretion, nn]",310
8945,"[prep_on, regulation, prep_of]",311
22075,"[prep_on, regulation, prep_of]",311
3487,"[prep_on, regulation, prep_of]",311
22709,"[amod, blocks, nsubj]",312
17432,"[amod, blocks, nsubj]",312
6147,"[amod, blocks, nsubj]",312
22746,"[nn, sodium, appos]",313
14239,"[nn, sodium, appos]",313
26565,"[amod, head, appos]",315
24186,"[nsubj, modify, advcl, produced, prep_on, content, nn]",316
3271,"[nsubj, modify, advcl, produced, prep_on, content, nn]",316
14789,"[nsubj, causes, dobj, inhibition, prep_of]",317
12734,"[nsubj, causes, dobj, inhibition, prep_of]",317
20724,"[nsubj, causes, dobj, inhibition, prep_of]",317
24147,"[nsubj, inhibited, dobj, activity, amod, enzymatic, amod]",318
6714,"[nn, concentration, nsubj]",319
17225,"[nn, concentration, nsubj]",319
25741,"[nn, concentration, nsubj]",319
5826,"[nn, concentration, nsubj]",319
23979,"[nn, concentration, nsubj]",319
24920,"[appos, factor, dep]",320
22782,"[appos, factor, dep]",320
7241,"[appos, factor, dep]",320
7117,"[appos, factor, dep]",320
24917,"[appos, factor, dep]",320
15297,"[appos, factor, dep]",320
20100,"[appos, factor, dep]",320
26434,"[appos, factor, dep]",320
15283,"[appos, factor, dep]",320
7130,"[appos, factor, dep]",320
8705,"[appos, factor, dep]",320
6408,"[appos, egfr, prep_against, blocking, prepc_with, lines, prep_of, treatment, nsubj, promotes, dobj, induction, prep_of]",321
9024,"[appos, egfr, prep_against, blocking, prepc_with, lines, prep_of, treatment, nsubj, promotes, dobj, induction, prep_of]",321
20496,"[partmod, induced, dobj, phosphorylation, prep_of]",322
13252,"[partmod, induced, dobj, phosphorylation, prep_of]",322
7044,"[partmod, induced, dobj, phosphorylation, prep_of]",322
16998,"[dep, antibody, prep_against]",323
10605,"[amod, system, appos]",324
2575,"[amod, system, appos]",324
19107,"[amod, system, appos]",324
12206,"[amod, system, appos]",324
8493,"[appos, inducer, nn]",325
16270,"[appos, inducer, nn]",325
9315,"[appos, inducer, nn]",325
2997,"[appos, inducer, nn]",325
2730,"[appos, inducer, nn]",325
20460,"[appos, inducer, nn]",325
20679,"[appos, inducer, nn]",325
20722,"[appos, inducer, nn]",325
1247,"[appos, inducer, nn]",325
18117,"[appos, inducer, nn]",325
11470,"[dep, agonists, amod]",326
19876,"[dep, agonists, amod]",326
26538,"[dep, agonists, amod]",326
5391,"[dep, agonists, amod]",326
9778,"[dep, agonists, amod]",326
28588,"[dep, agonists, amod]",326
11696,"[amod, stimulation, prep_of, release, nn]",327
11642,"[amod, stimulation, prep_of, release, nn]",327
7541,"[prep_on, functions, prep_of]",328
24110,"[prep_on, functions, prep_of]",328
6221,"[nsubj, improves, prep_in, patients, prep_with]",329
9081,"[nsubj, improves, prep_in, patients, prep_with]",329
12359,"[nsubj, improves, prep_in, patients, prep_with]",329
26476,"[nsubj, improves, prep_in, patients, prep_with]",329
15037,"[prep_of, pharmacokinetics, prep_on, pantoprazole, prep_of, influence, nsubjpass, concluded, agent, competition, prep_with]",330
20609,"[prep_of, pharmacokinetics, prep_on, pantoprazole, prep_of, influence, nsubjpass, concluded, agent, competition, prep_with]",330
28401,"[nsubj, induces, dobj, expression, prep_of, protein, amod]",331
1085,"[prep_of, micrograms, amod]",332
26343,"[prep_of, micrograms, amod]",332
24414,"[prep_of, micrograms, amod]",332
14138,"[prep_of, micrograms, amod]",332
9554,"[prep_of, micrograms, amod]",332
26763,"[prep_of, micrograms, amod]",332
9183,"[prep_of, micrograms, amod]",332
7776,"[prep_of, micrograms, amod]",332
6162,"[prep_of, micrograms, amod]",332
22557,"[prep_of, micrograms, amod]",332
14296,"[prep_of, micrograms, amod]",332
25274,"[prep_of, micrograms, amod]",332
8706,"[prep_of, micrograms, amod]",332
20793,"[prep_of, micrograms, amod]",332
20816,"[prep_of, micrograms, amod]",332
7077,"[prep_of, micrograms, amod]",332
12144,"[prep_of, micrograms, amod]",332
8989,"[prep_of, micrograms, amod]",332
10982,"[nsubj, showed, prep_to]",333
16956,"[nsubj, showed, prep_to]",333
6231,"[nn, treatment, nsubj, decreased, dobj]",334
26140,"[nn, treatment, nsubj, decreased, dobj]",334
25447,"[nn, treatment, nsubj, decreased, dobj]",334
27993,"[dep, immunoassays, dep]",335
13279,"[amod, treatment, prep_by]",336
15943,"[amod, treatment, prep_by]",336
10215,"[amod, treatment, prep_by]",336
4928,"[nsubj, activated, xcomp, expressing, dobj]",337
3956,"[nsubj, activated, xcomp, expressing, dobj]",337
14475,"[prep_with, agonist, amod]",338
22572,"[prep_with, agonist, amod]",338
21769,"[partmod, counteracted, prep_to]",339
23498,"[partmod, counteracted, prep_to]",339
20146,"[prep_to, expressing, dobj]",340
5141,"[prep_to, expressing, dobj]",340
9823,"[nn, treatment, prep_on, activity, prep_of]",341
10312,"[nn, treatment, prep_on, activity, prep_of]",341
14477,"[prep_of, expression, dobj, reduced, nsubj, inhibition, prep_of]",342
11140,"[prep_of, expression, dobj, reduced, nsubj, inhibition, prep_of]",342
10839,"[prep_of, use, nsubjpass, associated, prep_with, activity, nn]",343
10146,"[prep_of, use, nsubjpass, associated, prep_with, activity, nn]",343
15211,"[nsubj, decreased, dobj, levels, prep_of, mrna, nn]",344
28692,"[nsubj, decreased, dobj, levels, prep_of, mrna, nn]",344
14634,"[prep_in, role, prep_of]",345
3220,"[prep_in, role, prep_of]",345
23222,"[nsubj, analog, appos]",346
3052,"[nsubj, analog, appos]",346
12139,"[prep_with, stimulation, prep_upon, translocated, nsubjpass]",347
17241,"[prep_with, stimulation, prep_upon, translocated, nsubjpass]",347
8708,"[nsubj, induced, xcomp]",348
24515,"[nsubj, induced, xcomp]",348
21107,"[appos, inhibitor, dep]",349
6295,"[appos, inhibitor, dep]",349
25331,"[appos, inhibitor, dep]",349
19710,"[nsubj, reduced, dobj, content, prep_of]",350
10825,"[nsubj, reduced, dobj, content, prep_of]",350
18100,"[amod, receptor, dep]",351
13125,"[amod, receptor, dep]",351
5923,"[nsubj, downregulates, dobj, expression, nn]",352
9302,"[nsubj, downregulates, dobj, expression, nn]",352
23694,"[prep_toward, activities, amod]",353
11061,"[prep_toward, activities, amod]",353
4434,"[nn, resistance, prep_for, responsible, nsubj]",354
3512,"[nn, resistance, prep_for, responsible, nsubj]",354
8472,"[nsubj, synthase, dobj]",355
9829,"[prep_with, treatment, nsubjpass, associated, prep_with, concentrations, prep_of]",356
638,"[nsubj, stimulates, dobj, transcription, amod]",357
2496,"[nsubj, stimulates, dobj, transcription, amod]",357
4768,"[nsubj, stimulates, dobj, transcription, amod]",357
11964,"[prep_via, inhibition, nn]",358
5668,"[prep_via, inhibition, nn]",358
27874,"[nsubj, enhanced, dobj]",359
22816,"[nsubj, enhanced, dobj]",359
637,"[nsubj, enhanced, dobj]",359
7471,"[nsubj, enhanced, dobj]",359
4795,"[nsubj, enhanced, dobj]",359
18836,"[nsubj, enhanced, dobj]",359
19496,"[nsubj, enhanced, dobj]",359
12382,"[nsubj, enhanced, dobj]",359
22018,"[nsubj, enhanced, dobj]",359
16289,"[dobj, received, prep_to, therapy, nn]",360
945,"[prep_with, incubated, prep_in, presence, prep_of]",361
9285,"[prep_with, incubated, prep_in, presence, prep_of]",361
8525,"[amod, antagonists, nn]",362
19985,"[amod, antagonists, nn]",362
26636,"[amod, antagonists, nn]",362
19997,"[amod, antagonists, nn]",362
24473,"[amod, antagonists, nn]",362
22988,"[amod, antagonists, nn]",362
10492,"[dobj, identified, prep_as, inhibitor, nn]",363
2186,"[dobj, identified, prep_as, inhibitor, nn]",363
17084,"[advmod, inhibited, pobj]",364
15819,"[prep_on, regulation, prep_of, expression, amod]",365
26876,"[prep_on, regulation, prep_of, expression, amod]",365
8459,"[nsubj, showed, prep_with]",366
25517,"[nsubj, showed, prep_with]",366
22394,"[amod, oxybenzone, amod, compounds, dep]",367
12189,"[amod, oxybenzone, amod, compounds, dep]",367
2587,"[amod, oxybenzone, amod, compounds, dep]",367
2456,"[prep_to, cultures, prepc_of, expanding, dobj, t, nn]",368
3242,"[prep_to, cultures, prepc_of, expanding, dobj, t, nn]",368
10225,"[nsubj, increased, prepc_by, inhibiting, dobj]",369
9068,"[nsubj, increased, prepc_by, inhibiting, dobj]",369
3046,"[prep_of, effect, dobj, abrogated, nsubj, knockdown, prep_of]",370
7350,"[prep_of, effect, dobj, abrogated, nsubj, knockdown, prep_of]",370
26923,"[prep_of, effect, dobj, abrogated, nsubj, knockdown, prep_of]",370
26930,"[prep_such_as, inhibitors, prep_of]",371
14661,"[prep_such_as, inhibitors, prep_of]",371
13203,"[prep_such_as, inhibitors, prep_of]",371
2151,"[prep_such_as, inhibitors, prep_of]",371
13227,"[prep_such_as, inhibitors, prep_of]",371
4998,"[prep_such_as, inhibitors, prep_of]",371
5350,"[prep_such_as, inhibitors, prep_of]",371
22653,"[dep, activator, amod]",372
16567,"[amod, blockers, nn]",373
24768,"[amod, blockers, nn]",373
4572,"[nsubj, addition, prep_of]",374
6460,"[nsubj, addition, prep_of]",374
3822,"[prep_by, expression, appos]",375
15573,"[prep_by, expression, appos]",375
20800,"[nn, fasr, appos]",376
545,"[nn, fasr, appos]",376
25696,"[nn, fasr, appos]",376
27212,"[nn, fasr, appos]",376
25582,"[nn, fasr, appos]",376
21473,"[nn, fasr, appos]",376
9212,"[nsubj, caused, dobj]",377
13402,"[nsubj, caused, dobj]",377
5835,"[nsubj, increased, dobj, content, prep_of]",378
11680,"[nsubj, increased, dobj, content, prep_of]",378
25358,"[nsubj, increased, dobj, content, prep_of]",378
25622,"[prep_of, release, nsubjpass, decreased, prep_in]",379
17280,"[prep_of, release, nsubjpass, decreased, prep_in]",379
28302,"[xsubj, probe, dobj]",380
15956,"[amod, treatment, agent, induced, nsubjpass]",381
20000,"[amod, treatment, agent, induced, nsubjpass]",381
23790,"[nsubj, raised, dobj, levels, nn]",382
16911,"[nsubj, raised, dobj, levels, nn]",382
24140,"[nsubj, stimulated, dobj, production, amod]",384
24096,"[nsubj, increased, dobj, mrna, amod]",385
16050,"[nsubj, increased, dobj, mrna, amod]",385
20471,"[nsubj, increased, dobj, mrna, amod]",385
802,"[nsubj, increased, dobj, mrna, amod]",385
9404,"[nsubj, increased, dobj, mrna, amod]",385
17291,"[nsubj, increased, dobj, mrna, amod]",385
3511,"[nsubj, increased, dobj, mrna, amod]",385
5517,"[nsubj, increased, dobj, mrna, amod]",385
25597,"[nsubj, increased, dobj, mrna, amod]",385
18189,"[nsubj, increased, dobj, mrna, amod]",385
10263,"[nsubj, increased, dobj, mrna, amod]",385
5376,"[nsubj, increased, dobj, mrna, amod]",385
7681,"[nsubj, increased, dobj, mrna, amod]",385
7465,"[nsubj, increased, dobj, mrna, amod]",385
6040,"[nsubj, increased, dobj, mrna, amod]",385
20993,"[nsubj, increased, dobj, mrna, amod]",385
11687,"[nsubj, increased, dobj, mrna, amod]",385
19930,"[nsubj, increased, dobj, mrna, amod]",385
2094,"[nsubj, increased, dobj, mrna, amod]",385
7997,"[nsubj, blocker, nn]",386
9703,"[nsubj, acts, prep_on]",387
9920,"[nsubj, acts, prep_on]",387
24005,"[prep_of, analog, dep]",388
13717,"[prep_of, analog, dep]",388
19010,"[prep_with, treated, partmod, patients, amod]",389
29292,"[prep_with, treated, partmod, patients, amod]",389
2118,"[prep_with, treated, partmod, patients, amod]",389
949,"[prep_with, treated, partmod, patients, amod]",389
16510,"[appos, enolate, prep_with, substituting, prepc_after, maintained, nsubjpass, inhibition, amod]",390
25265,"[appos, enolate, prep_with, substituting, prepc_after, maintained, nsubjpass, inhibition, amod]",390
27011,"[xsubj, inhibit, dobj, activity, prep_of]",391
13500,"[xsubj, inhibit, dobj, activity, prep_of]",391
3901,"[xsubj, inhibit, dobj, activity, prep_of]",391
22703,"[xsubj, inhibit, dobj, activity, prep_of]",391
16541,"[xsubj, inhibit, dobj, activity, prep_of]",391
18349,"[xsubj, inhibit, dobj, activity, prep_of]",391
20344,"[xsubj, inhibit, dobj, activity, prep_of]",391
26226,"[amod, sensitivity, dobj, confers, prep_to, subunit, amod]",392
21027,"[amod, sensitivity, dobj, confers, prep_to, subunit, amod]",392
29056,"[prep_with, treatment, nsubj, inhibited, dobj, mrna, nn]",393
1388,"[dep, sulfasalazine, appos, dmard, dep, drugs, appos, inhibitors, nn]",394
5993,"[dep, sulfasalazine, appos, dmard, dep, drugs, appos, inhibitors, nn]",394
29424,"[prep_of, pharmacokinetics, nsubjpass, investigated, prep_in, mice, amod]",395
2551,"[prep_of, pharmacokinetics, nsubjpass, investigated, prep_in, mice, amod]",395
22559,"[appos, naag, nsubj, selectivity, prep_of]",396
773,"[appos, naag, nsubj, selectivity, prep_of]",396
27807,"[appos, naag, nsubj, selectivity, prep_of]",396
7342,"[appos, genotype, appos]",398
22062,"[appos, genotype, appos]",398
26429,"[appos, scf, appos]",399
7142,"[appos, scf, appos]",399
7146,"[appos, scf, appos]",399
10950,"[xsubj, expression, prep_of]",400
25261,"[xsubj, expression, prep_of]",400
26206,"[xsubj, expression, prep_of]",400
22538,"[xsubj, expression, prep_of]",400
27165,"[xsubj, expression, prep_of]",400
29158,"[xsubj, expression, prep_of]",400
22936,"[xsubj, expression, prep_of]",400
13577,"[xsubj, expression, prep_of]",400
26914,"[xsubj, expression, prep_of]",400
25485,"[xsubj, expression, prep_of]",400
4433,"[xsubj, expression, prep_of]",400
10327,"[xsubj, expression, prep_of]",400
3542,"[xsubj, expression, prep_of]",400
27840,"[xsubj, expression, prep_of]",400
17698,"[xsubj, expression, prep_of]",400
16527,"[xsubj, expression, prep_of]",400
12291,"[xsubj, expression, prep_of]",400
28323,"[prep_such_as, inhibitors, dobj]",401
767,"[nsubjpass, administered, prep_to, patients, amod]",402
12582,"[amod, expression, dobj, increased, nsubj]",403
5302,"[amod, expression, dobj, increased, nsubj]",403
27815,"[amod, treatment, nsubj, increased, dobj, expression, amod]",404
17056,"[amod, treatment, nsubj, increased, dobj, expression, amod]",404
5761,"[amod, treatment, nsubj, increased, dobj, expression, amod]",404
26452,"[amod, treatment, nsubj, increased, dobj, expression, amod]",404
24257,"[amod, treatment, nsubj, increased, dobj, expression, amod]",404
297,"[amod, treatment, nsubj, increased, dobj, expression, amod]",404
25080,"[amod, treatment, nsubj, increased, dobj, expression, amod]",404
29225,"[agent, stimulated, nsubjpass, activity, amod]",405
21203,"[agent, stimulated, nsubjpass, activity, amod]",405
7411,"[agent, stimulated, nsubjpass, activity, amod]",405
24779,"[prep_of, activity, dobj, enhance, nsubj]",406
12569,"[prep_of, activity, dobj, enhance, nsubj]",406
26887,"[nsubj, agonists, nn]",407
20755,"[nsubj, agonists, nn]",407
14853,"[nsubj, agonists, nn]",407
5794,"[amod, constructs, nn]",408
11054,"[amod, constructs, nn]",408
29163,"[prep_with, added, nsubjpass]",409
6948,"[prep_with, added, nsubjpass]",409
15919,"[prep_to, contrast, prep_in, enhanced, dobj, levels, amod]",410
8587,"[appos, group, nn]",411
21359,"[appos, group, nn]",411
15224,"[acomp, converts, nsubj]",412
10522,"[prep_without, factor, appos]",413
20069,"[prep_without, factor, appos]",413
16749,"[prep_without, factor, appos]",413
28456,"[prep_to, resistance, prep_with, associated, nsubjpass, mutations, prep_in, synthase, appos]",414
28253,"[prep_to, resistance, prep_with, associated, nsubjpass, mutations, prep_in, synthase, appos]",414
5633,"[nsubj, demonstrated, prep_for]",415
12801,"[prep_of, effects, dobj, investigate, prep_on]",416
2238,"[prep_of, effects, dobj, investigate, prep_on]",416
20929,"[prep_of, effects, dobj, investigate, prep_on]",416
1389,"[prep_of, effects, dobj, investigate, prep_on]",416
1804,"[prep_of, effects, dobj, investigate, prep_on]",416
21196,"[amod, c, nn]",417
10351,"[amod, c, nn]",417
24316,"[amod, c, nn]",417
17443,"[xcomp, bound, partmod]",418
13647,"[xcomp, bound, partmod]",418
6877,"[xcomp, bound, partmod]",418
15784,"[nn, transport, amod]",419
26667,"[nsubj, effective, prep_in, management, prep_of]",420
21676,"[nsubj, effective, prep_in, management, prep_of]",420
18170,"[prep_with, rose, nsubj, levels, nn]",421
19358,"[appos, statin, prep_of, use, nsubj, inhibit, prep_in, tetrachloride, appos]",422
11485,"[appos, statin, prep_of, use, nsubj, inhibit, prep_in, tetrachloride, appos]",422
11398,"[appos, activity, nn]",423
19455,"[appos, activity, nn]",423
23480,"[appos, activity, nn]",423
205,"[appos, activity, nn]",423
21571,"[appos, activity, nn]",423
16524,"[appos, activity, nn]",423
2215,"[appos, activity, nn]",423
18108,"[nsubj, inhibits, dobj, receptor, nn]",424
24231,"[prep_with, treatment, nsubj, inhibited, prep_in]",427
19386,"[prep_with, treatment, nsubj, inhibited, prep_in]",427
29099,"[amod, transcription, nn]",428
13180,"[amod, transcription, nn]",428
23991,"[amod, transcription, nn]",428
7729,"[amod, transcription, nn]",428
12080,"[dobj, expression, appos]",429
10597,"[dobj, expression, appos]",429
22404,"[appos, factor, dep, expression, nn]",430
25599,"[appos, factor, dep, expression, nn]",430
7620,"[nsubj, downregulated, dobj, mrna, nn]",431
8192,"[amod, levels, nsubj]",432
20548,"[prep_by, suppression, amod]",433
21126,"[nsubj, acted, prep_on]",434
1155,"[nsubj, acted, prep_on]",434
27961,"[prep_of, efflux, dobj, mediated, nsubj]",435
9993,"[prep_of, efflux, dobj, mediated, nsubj]",435
10606,"[amod, infusion, prep_after, decreased, nsubj]",436
13913,"[amod, infusion, prep_after, decreased, nsubj]",436
5462,"[prep_with, inhibiting, dobj, activity, amod]",437
10660,"[prep_with, inhibiting, dobj, activity, amod]",437
9541,"[prep_with, acted, nsubj]",439
8505,"[nsubj, alters, dobj, expression, nn]",440
5626,"[nsubj, alters, dobj, expression, nn]",440
27307,"[nn, beta, nn]",441
14647,"[dobj, fed, partmod, mice, nn]",442
1288,"[nsubjpass, used, dep, ml, dep, antagonist, nn]",445
900,"[nsubjpass, used, dep, ml, dep, antagonist, nn]",445
12654,"[infmod, resistance, dobj, mediates, nsubj]",446
25139,"[infmod, resistance, dobj, mediates, nsubj]",446
16481,"[prep_of, effects, prep_for, required, nsubjpass]",448
21231,"[prep_of, effects, prep_for, required, nsubjpass]",448
22735,"[prep_of, effects, prep_for, required, nsubjpass]",448
17859,"[prep_of, effects, prep_for, required, nsubjpass]",448
23373,"[nsubj, increased, acomp]",449
25458,"[nsubj, increased, acomp]",449
24275,"[nsubj, increased, acomp]",449
25103,"[nsubj, increased, acomp]",449
8214,"[nsubj, increased, acomp]",449
29259,"[prep_in, treatment, prep_of, patients, prep_with]",450
10777,"[prep_in, treatment, prep_of, patients, prep_with]",450
4091,"[nn, a, xsubj]",451
27914,"[dep, inhibitors, nn]",452
18715,"[dep, inhibitors, nn]",452
14442,"[dep, inhibitors, nn]",452
5197,"[dep, inhibitors, nn]",452
12919,"[dep, inhibitors, nn]",452
21924,"[dep, inhibitors, nn]",452
21028,"[amod, a, nn]",453
15064,"[amod, a, nn]",453
12449,"[amod, a, nn]",453
20709,"[amod, a, nn]",453
26362,"[prep_by, targeting, dobj]",454
10616,"[prep_by, targeting, dobj]",454
7245,"[nsubj, induces, dobj, release, prep_of]",455
22794,"[nsubj, induces, dobj, release, prep_of]",455
16338,"[prep_of, concentrations, dobj, increase, nsubj, inhibitors, prep_of]",456
9565,"[prep_of, concentrations, dobj, increase, nsubj, inhibitors, prep_of]",456
25492,"[dep, substrate, prep_of]",457
5327,"[dep, substrate, prep_of]",457
761,"[dep, substrate, prep_of]",457
28024,"[dep, substrate, prep_of]",457
8390,"[dep, substrate, prep_of]",457
11693,"[prep_for, substitute, nsubj]",458
27383,"[prep_for, substitute, nsubj]",458
17550,"[prep_by, synthesis, nn]",460
24332,"[prep_by, synthesis, nn]",460
22330,"[prep_by, synthesis, nn]",460
20308,"[prep_of, addition, nsubj, enhanced, dobj, effect, prep_of]",461
25105,"[nsubj, modulated, prep_to]",462
17603,"[nsubj, modulated, prep_to]",462
21791,"[prep_of, action, prep_of, site, nsubj]",463
20705,"[prep_of, action, prep_of, site, nsubj]",463
28756,"[prep_of, effect, dobj, evaluated, prep_on, expression, amod]",464
2054,"[prep_of, effect, dobj, evaluated, prep_on, expression, amod]",464
21002,"[nsubj, suppressed, dobj, activation, prep_of]",466
4772,"[nsubj, suppressed, dobj, activation, prep_of]",466
26337,"[nsubj, suppressed, dobj, activation, prep_of]",466
12838,"[nsubj, suppressed, dobj, activation, prep_of]",466
17623,"[nsubj, prevented, dobj, induction, nn]",467
15736,"[prep_of, production, dobj, enhances, nsubj]",468
23134,"[nsubj, suppressed, dobj, expression, nn]",469
21057,"[nsubj, suppressed, dobj, expression, nn]",469
28802,"[nsubj, suppressed, dobj, expression, nn]",469
17728,"[nsubj, suppressed, dobj, expression, nn]",469
13630,"[nsubj, suppressed, dobj, expression, nn]",469
14990,"[nsubj, suppressed, dobj, expression, nn]",469
16276,"[nsubj, suppressed, dobj, expression, nn]",469
2404,"[nsubj, suppressed, dobj, expression, nn]",469
10710,"[nsubj, suppressed, dobj, expression, nn]",469
11267,"[nsubj, suppressed, dobj, expression, nn]",469
22158,"[nsubj, suppressed, dobj, expression, nn]",469
27025,"[nsubj, suppressed, dobj, expression, nn]",469
4012,"[nsubj, suppressed, dobj, expression, nn]",469
9386,"[nsubj, suppressed, dobj, expression, nn]",469
14552,"[nsubj, suppressed, dobj, expression, nn]",469
24183,"[nsubj, suppressed, dobj, expression, nn]",469
10938,"[nsubj, suppressed, dobj, expression, nn]",469
29217,"[nsubj, suppressed, dobj, expression, nn]",469
10792,"[nsubj, prevents, prep_through, preservation, prep_of, sulfate, nn]",470
15858,"[nsubj, prevents, prep_through, preservation, prep_of, sulfate, nn]",470
11993,"[amod, sulfate, prep_of, transport, dobj, mediates, nsubj]",471
10322,"[amod, sulfate, prep_of, transport, dobj, mediates, nsubj]",471
28906,"[nsubj, inhibited, dobj, stimulation, prep_of, cyclase, appos]",472
28912,"[nsubj, inhibited, dobj, stimulation, prep_of, cyclase, appos]",472
8629,"[amod, administration, prep_after, levels, nn]",473
20370,"[amod, administration, prep_after, levels, nn]",473
10379,"[nsubj, interferes, prep_with, binding, nn]",474
23941,"[nsubj, interferes, prep_with, binding, nn]",474
7096,"[amod, benzoylhydrazone, nsubj, has, advcl, inactive, xcomp, using, dobj, chimera, nn]",475
2302,"[amod, benzoylhydrazone, nsubj, has, advcl, inactive, xcomp, using, dobj, chimera, nn]",475
1628,"[dobj, antagonist, nsubj, effects, prep_of, receptor, appos]",476
386,"[amod, treatment, nsubj, reduced, dobj, expression, nn]",477
21986,"[amod, treatment, nsubj, reduced, dobj, expression, nn]",477
20302,"[amod, treatment, nsubj, reduced, dobj, expression, nn]",477
2759,"[amod, resistance, prep_in]",478
29254,"[amod, resistance, prep_in]",478
10788,"[amod, resistance, prep_in]",478
19214,"[amod, resistance, prep_in]",478
11505,"[amod, resistance, prep_in]",478
26375,"[amod, resistance, prep_in]",478
4720,"[amod, resistance, prep_in]",478
9488,"[amod, resistance, prep_in]",478
10814,"[amod, resistance, prep_in]",478
14715,"[xsubj, inhibit, prep_by]",479
25157,"[xsubj, inhibit, prep_by]",479
24083,"[amod, treatment, prep_after, tested, nsubjpass, silencing, prep_of]",481
15805,"[amod, treatment, prep_after, tested, nsubjpass, silencing, prep_of]",481
27433,"[amod, treatment, prep_after, tested, nsubjpass, silencing, prep_of]",481
21991,"[nsubj, failed, prep_to]",482
21458,"[nsubj, failed, prep_to]",482
28572,"[nsubj, suppresses, dobj, production, prep_of, cytokines, prep_via, inhibition, prep_of, activation, amod]",483
1537,"[nsubj, suppresses, dobj, production, prep_of, cytokines, prep_via, inhibition, prep_of, activation, amod]",483
2297,"[appos, hormone, nn]",484
3304,"[appos, hormone, nn]",484
28698,"[appos, antagonist, prep_to]",485
22684,"[npadvmod, significantly, advmod, inhibited, nsubj]",486
18613,"[npadvmod, significantly, advmod, inhibited, nsubj]",486
7429,"[nsubj, inhibits, dobj, effects, prep_of]",487
11113,"[nsubj, inhibits, dobj, effects, prep_of]",487
8382,"[prep_with, underwent, dobj]",488
13349,"[prep_with, underwent, dobj]",488
3397,"[amod, pneumoniae, appos]",489
10584,"[amod, pneumoniae, appos]",489
10687,"[nsubj, inhibitor, prep_of, enzyme, amod]",490
27362,"[amod, hydrochloride, prep_in]",492
2723,"[amod, hydrochloride, prep_in]",492
9502,"[amod, hydrochloride, prep_in]",492
3508,"[amod, hydrochloride, prep_in]",492
20166,"[dobj, using, partmod, activation, nn]",493
9766,"[nsubj, inhibited, dobj, secretion, nn]",494
28636,"[nsubj, inhibited, dobj, secretion, nn]",494
7548,"[nsubj, inhibited, dobj, secretion, nn]",494
19022,"[nsubj, inhibited, dobj, secretion, nn]",494
29049,"[nsubj, inhibited, dobj, secretion, nn]",494
9710,"[nsubj, inhibited, dobj, secretion, nn]",494
2101,"[nsubj, inhibited, dobj, secretion, nn]",494
11854,"[nsubj, inhibited, dobj, secretion, nn]",494
16460,"[nsubj, prevented, dobj, decrease, prep_of]",495
6252,"[nsubj, prevented, dobj, decrease, prep_of]",495
8055,"[nsubj, active, prep_than]",496
5674,"[prep_of, effect, prep_on, expression, prep_of]",497
9687,"[prep_of, effect, prep_on, expression, prep_of]",497
16021,"[prep_of, effect, prep_on, expression, prep_of]",497
21853,"[nsubj, had, dobj, levels, nn]",498
9252,"[nsubj, had, dobj, levels, nn]",498
6918,"[prep_such_as, inhibitors, prep_of, role, dobj, underscoring, partmod, mediates, nsubj, target, appos]",499
17763,"[nn, pretreatment, nsubj, inhibited, dobj, secretion, prep_of]",500
17757,"[nn, pretreatment, nsubj, inhibited, dobj, secretion, prep_of]",500
